case,problem,method,call,family,parent_record,parent_span,best_before,alternative_parent,strictly_worse_parent,status,time_improved,span
case_067,1,integrated,7,joint,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_067/p1_n5/integrated/evaluations/attempts/20260925T191650-37f0311ff13d448cb86985738133a1d0/record.json,15233731,15233731,False,False,success,True,15152310
case_067,1,integrated,8,structure,,,15152310,False,False,success,False,18506043
case_067,1,integrated,9,joint,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_067/p1_n5/integrated/evaluations/attempts/20260925T191701-0bcf32faf47a440ab23088961352bb0e/record.json,15152310,15152310,False,False,success,True,14978053
case_067,1,integrated,10,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_067/p1_n5/integrated/evaluations/attempts/20260925T191706-1d24006dd8354a2494f1cefc75696a4a/record.json,14978053,14978053,False,False,success,True,14776231
case_067,1,integrated,11,joint,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_067/p1_n5/integrated/evaluations/attempts/20260925T191708-9a084019b6cb4750ad2a4fb607fcf6f5/record.json,14776231,14776231,False,False,success,True,14756232
case_067,1,integrated,12,structure,,,14756232,False,False,success,False,15895448
case_019,1,integrated,7,joint,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_019/p1_n5/integrated/evaluations/attempts/20260925T191715-1b01db548ad04ef8a0fc2c24d1e8bd4e/record.json,24169,24169,False,False,success,True,22867
case_019,1,integrated,8,structure,,,22867,False,False,success,True,19414
case_019,1,integrated,9,joint,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_019/p1_n5/integrated/evaluations/attempts/20260925T191717-5919f3a9b3fa4172bf971fd8e1b38e42/record.json,19414,19414,False,False,success,False,21275
case_019,1,integrated,10,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_019/p1_n5/integrated/evaluations/attempts/20260925T191717-5919f3a9b3fa4172bf971fd8e1b38e42/record.json,19414,19414,False,False,success,False,22298
case_019,1,integrated,11,joint,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_019/p1_n5/integrated/evaluations/attempts/20260925T191717-5919f3a9b3fa4172bf971fd8e1b38e42/record.json,19414,19414,False,False,success,False,19414
case_019,1,integrated,12,structure,,,19414,False,False,success,False,21348
