case,method,seed,makespan,logical_calls,new_calls,task_calls,elapsed_seconds,timeouts,winner_plan
case_024,adaptive,42,2555343,6,0,0,0.5798386249225587,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015737-4bf342ac84564b84a277978d0736530d/plan.json
case_048,component,17,222220,1,0,0,0.012828500010073185,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015738-239fce9a6a8945a7af20c61f75d41507/plan.json
case_027,hybrid,73,558753,7,1,1,0.7020104170078412,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015738-1db74b745d5b4a3d81d92a74811568dd/plan.json
case_018,adaptive,73,205917,5,0,0,0.512961708009243,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015738-49d00d4edc5f49ab9cbcb6d79e73ac68/plan.json
case_050,adaptive,17,78548,9,0,0,0.7610638750484213,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015739-0997b528621f4873822a8363334dda00/plan.json
case_017,adaptive,17,35496,4,0,0,0.22636520792730153,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015739-7ef53090d4b24fd7b474a788a1afb1ea/plan.json
case_050,hybrid,17,77776,12,3,3,2.2748087079962716,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015741-540c8a7043b442ebad130076ddd0e328/plan.json
case_050,component,42,108121,12,4,0,6.133162667043507,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015739-71080b2f800c4e47907d885a735ce1ab/plan.json
case_064,adaptive,17,16469,12,3,0,0.5138091660337523,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015745-3132d1b92501435e8846289b2ffcb9dc/plan.json
case_093,hybrid,73,15876,3,1,1,0.26091025001369417,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015745-762050bb85c2495091eadd26dfd19713/plan.json
case_068,component,73,302408,12,4,0,8.304170417017303,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015742-bf9c22418b0d40ed88ec8ae1bcb8bebf/plan.json
case_009,hybrid,17,83830,12,0,4,0.9937242079759017,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015750-745680e807e94ecaacf3482a06871b6b/plan.json
case_074,hybrid,17,330675,8,4,4,5.076337417005561,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015747-03a9d5eb2eba49df957dbd63423e3e66/plan.json
case_100,hybrid,73,57811,12,4,4,1.086091291042976,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015751-ae48176fac7f49e98913faeac4345901/plan.json
case_036,component,42,187182,12,4,0,2.2824514160165563,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015751-ac8db81ebd984983967d44883ae82e8f/plan.json
case_027,component,73,558753,12,4,0,1.0744615419534966,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015753-e173e1220b984dbbb6b01da3fb407e78/plan.json
case_017,hybrid,73,35496,6,2,2,0.7703286670148373,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015754-630052d87dcf42efb937d3b9178e7b75/plan.json
