case,method,seed,makespan,logical_calls,new_calls,task_calls,elapsed_seconds,timeouts,winner_plan
case_071,hybrid,73,13396,12,4,3,0.6626658749300987,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015934-508c6db88c5446c99e7fe98a8e16de9e/plan.json
case_038,adaptive,17,279703,4,0,0,0.9096039580181241,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015935-074df931371c453298e40cf1984fd1a4/plan.json
case_002,hybrid,17,114539,12,4,2,2.3732920000329614,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015935-a98b4a06a38e4c1fbb73a5de4030377b/plan.json
case_086,hybrid,73,95481,12,7,4,5.478468375047669,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015938-0a95638d9c504558900a4790c4374318/plan.json
case_066,hybrid,17,199671,12,5,3,4.738819209043868,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015939-4e2e97f26eff4d6db0ceedf6866588db/plan.json
case_066,adaptive,42,205062,12,5,0,7.916381707997061,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015946-200fe2d09b1446a5b1792277a9daaf41/plan.json
case_081,adaptive,73,30943,5,0,0,0.33990129199810326,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015948-0caec53f47db4f3c8cdafd56a5ab48fe/plan.json
case_071,adaptive,73,13396,12,3,0,0.5893901670351624,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015949-9391a827cf0047a3a678dcd540dbb998/plan.json
case_002,component,42,261945,1,0,0,0.015324707957915962,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015949-e351327ee66b4273b6bd7612d0cf82fd/plan.json
case_081,hybrid,73,30943,7,2,2,1.4104113340144977,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015949-f7512d2612fa47c7a42cdf7902d195e3/plan.json
case_015,component,73,43411,12,8,0,1.5140245839720592,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015951-9332ebc72afa4ed892a454cf7a689e44/plan.json
case_037,component,17,43013,12,8,0,1.3287428750190884,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015953-46079ddb16d9446486bb49e6150ec76a/plan.json
case_081,adaptive,42,30943,5,0,0,0.3588628750294447,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015954-64b6a5283495486786d0b5605172eb63/plan.json
case_037,hybrid,17,43013,8,1,1,0.3581345829879865,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015954-7618e3c21a094e7ab9040a2aa84f4923/plan.json
case_071,adaptive,17,13396,12,0,0,0.10669241601135582,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015954-d16e86e4684c4533ae9365ec27a70aef/plan.json
case_086,component,73,118403,1,0,0,0.03254941606428474,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015954-f3c0da16c89d471a9aebc2de033fb61d/plan.json
case_071,hybrid,42,11491,12,2,4,0.38285941700451076,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015955-987fa66a764c4732a7d8cf902aaeeb43/plan.json
case_015,adaptive,42,43411,12,5,0,1.1374780839541927,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015955-bf11807b12244f51b74cb822606bc77f/plan.json
case_038,adaptive,73,283793,4,1,0,3.5210323749342933,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015957-0a2c2be61cfb4bb59b7ead4bf9039eed/plan.json
case_066,component,17,247923,12,8,0,18.503445042064413,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T015944-ff23d303b65a482fb6cd5631d0de65fa/plan.json
case_066,adaptive,73,205062,12,3,0,6.102313166018575,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020006-fb84e12109784ffcb3eea461eb61d5a7/plan.json
case_086,adaptive,73,95806,12,3,0,2.62438104103785,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020007-84b0d15f94c648d387f0a3653ccc06fa/plan.json
case_038,hybrid,73,278976,8,4,4,13.163163791992702,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020011-d73185e228ce4088b72d315d6281984d/plan.json
case_086,hybrid,42,95409,12,4,4,3.6574866250157356,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020010-698b173ac8ca4120bd5b8462441b83b8/plan.json
case_037,hybrid,42,43013,8,3,1,0.6189640000229701,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020013-cd43a79bfd9147a1bca57584d6283d85/plan.json
case_086,hybrid,17,95717,12,4,4,3.6499108750140294,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020016-0bd2de8af4f14bf19bab45ce8dddda9b/plan.json
case_081,component,42,30943,12,7,0,2.964383582933806,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020013-76857cbddb0c48b99ad247b5ef3d77a6/plan.json
case_081,adaptive,17,30943,5,0,0,0.3568222919711843,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020016-85e0f8823af7423a929c600a38493e46/plan.json
case_086,adaptive,17,95806,12,0,0,0.5467463330132887,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020017-2a8b43f6202341bc93d4186df8d61c92/plan.json
case_015,hybrid,73,43411,12,2,2,0.6522283749654889,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020017-3bc30be8d3d64a619da6ee9b1695ea69/plan.json
case_081,hybrid,42,30943,7,1,2,1.002308708964847,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020017-3e3a0caca647457a84622a6f729c71d1/plan.json
case_066,hybrid,42,199028,12,2,3,2.7808158340631053,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020018-7fa4fa46ce314277962cb531c3ce5942/plan.json
case_002,component,17,261945,1,0,0,0.013429000042378902,0,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T020020-490b3b06810947c5a159ac6ada8cbe2d/plan.json
