case,problem,cores,before,after,before_copy_bytes,after_copy_bytes,reduction_pct,original_singlecore,plan,official_record,official_result
case_009,2,5,51788,51486,1328826,1328826,0.5831466749053882,153261,方案/p2/n5/case_009_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T152806-4800a2d856914af780a7a7da5ff921bf/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T152806-4800a2d856914af780a7a7da5ff921bf/official_result.json.gz
case_009,3,5,47234,46976,1328826,1328826,0.5462167083033376,153261,方案/p3/n5/case_009_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T152212-67c87cbd22414b6db45eab32acd8d958/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T152212-67c87cbd22414b6db45eab32acd8d958/official_result.json.gz
case_047,3,5,93047,93036,2651832,2651832,0.011821982438986467,326508,方案/p3/n5/case_047_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T152005-d875022df5e34cf2aac6dede247e5567/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T152005-d875022df5e34cf2aac6dede247e5567/official_result.json.gz
case_056,2,5,92627,92521,2734524,2734524,0.11443747503427915,277285,方案/p2/n5/case_056_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T152805-8b24ad4d70e34b248fd431737155f20c/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T152805-8b24ad4d70e34b248fd431737155f20c/official_result.json.gz
case_056,3,5,91994,91897,2734524,2734524,0.10544165923864757,277285,方案/p3/n5/case_056_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T152228-071e32c1f144475c9f8aed9a7862ba98/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T152228-071e32c1f144475c9f8aed9a7862ba98/official_result.json.gz
case_067,2,5,12057191,12055757,77944320,78601728,0.011893317440192508,63834834,方案/p2/n5/case_067_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T152805-d0dd445c598842aba730c9da0211de93/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T152805-d0dd445c598842aba730c9da0211de93/official_result.json.gz
case_067,3,5,12007191,11993835,77944320,78601728,0.11123334341895941,63834834,方案/p3/n5/case_067_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T152310-3e6855e4d0c04ae0826144105bff0e3b/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T152159-bab93fdb723d4662ae3e8139f4555892/official_result.json.gz
case_069,3,5,9390,9183,433744,426832,2.204472843450478,25144,方案/p3/n5/case_069_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T152215-6ee72d57e3da46359754da592c2f0718/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T152215-6ee72d57e3da46359754da592c2f0718/official_result.json.gz
case_079,2,5,6008220,6002829,38438912,38426624,0.0897270739087408,31052251,方案/p2/n5/case_079_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T152759-764502ed6eeb4127ad4b24eac0735e23/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T152759-764502ed6eeb4127ad4b24eac0735e23/official_result.json.gz
case_079,3,5,6007100,6001928,38438912,38426624,0.08609811722795069,31052251,方案/p3/n5/case_079_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T152311-30c063141bc342deb24c1e71e41ef3e1/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T152222-2a0e71e98f2d404bb74a930b1620f354/official_result.json.gz
case_085,3,5,816858,815053,38726264,38726264,0.22096863836799097,3187899,方案/p3/n5/case_085_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T151759-8d164a85f86a4980bdd26d5a66a263b0/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T151759-8d164a85f86a4980bdd26d5a66a263b0/official_result.json.gz
