case,method,seed,makespan,logical_calls,new_calls,elapsed_seconds,timeouts,stop_reason,winner_plan
case_064,portfolio,17,16370,12,0,0.21030287502799183,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104618-60e12139e5d140518971f61cbca0ade0/plan.json
case_015,portfolio,17,43411,8,0,0.42534908396191895,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104618-de5ccd08fa664d45ba5bb4db0b6146dc/plan.json
case_050,hybrid,42,77776,11,0,0.9242877500364557,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104619-1ceef5f658ab421f900fcdcd0894a964/plan.json
case_086,adaptive,73,95806,12,0,0.5201202080352232,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104620-664256d3f0db4b3580c9a9a21dafd23d/plan.json
case_038,portfolio,17,276281,5,0,1.8208042921032757,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104620-ac9ec92753ce4348a825c9795a241ded/plan.json
case_017,hybrid,42,35496,6,0,0.2768274999689311,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104620-6a0cdd38ba264c8d82c2afba2c208416/plan.json
case_086,adaptive,42,95806,12,0,0.5011858750367537,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104620-7cd2ef30eec944e2b305e098b19573a3/plan.json
case_015,portfolio,42,43411,8,0,0.4078343330183998,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104620-7a9ad2f6831d4683987067b3d12d880e/plan.json
case_018,portfolio,73,205917,8,0,0.8547124169999734,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104621-4f3f107c4f8949258c4b4f5398f6f15b/plan.json
case_002,portfolio,17,78244,12,2,1.0491865839576349,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104621-afbb1c32d0834d2c95d2fe16b642232e/plan.json
case_064,hybrid,42,16463,12,0,0.1391430830117315,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104622-5928930c21d34a5994a3a2707c81f0c2/plan.json
case_015,portfolio,73,43411,8,0,0.41371108300518245,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104622-f51a60521e634faf8faf6fd54e44ed80/plan.json
case_093,adaptive,73,15876,2,0,0.10028237500227988,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104622-9feb143f053849b49428967f5b8a34db/plan.json
case_042,adaptive,73,351786,4,0,0.7676696251146495,0,budget_or_pool_exhausted,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104623-5657266b71554e38ba74dfe04e7d8391/plan.json
