case,problem,cores,method,status,makespan,logical_calls,new_calls,elapsed_seconds,stop_reason,failed_calls,generation_errors,summary_path
case_046,2,5,baseline,success,77846,12,12,1.9315359169850126,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p2_n5/baseline/summary.json
case_046,3,5,budget_beam,success,77846,12,12,2.4224195829592645,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p3_n5/budget_beam/summary.json
case_046,2,5,budget_beam,success,77846,12,12,2.383930291980505,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p2_n5/budget_beam/summary.json
case_083,3,5,baseline,success,184594,12,12,4.985865290975198,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_083/p3_n5/baseline/summary.json
case_083,2,5,budget_beam,success,183856,12,12,7.660869250074029,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_083/p2_n5/budget_beam/summary.json
case_031,3,5,budget_greedy,success,276203,12,12,18.14809820894152,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_031/p3_n5/budget_greedy/summary.json
case_018,2,5,local_legacy,success,197769,12,12,6.055364458938129,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p2_n5/local_legacy/summary.json
case_046,2,5,budget_greedy,success,77846,12,12,2.456726250005886,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p2_n5/budget_greedy/summary.json
case_018,2,5,budget_greedy,success,197737,12,12,8.194233209011145,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p2_n5/budget_greedy/summary.json
case_018,3,5,budget_greedy,success,196701,12,12,8.348451416008174,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p3_n5/budget_greedy/summary.json
case_083,3,5,budget_beam,success,183787,12,12,8.338965625036508,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_083/p3_n5/budget_beam/summary.json
case_046,3,5,baseline,success,77846,12,12,2.0292485419195145,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p3_n5/baseline/summary.json
case_031,2,5,budget_greedy,success,277319,12,12,18.326920832972974,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_031/p2_n5/budget_greedy/summary.json
case_018,3,5,baseline,success,196701,12,12,5.622480665915646,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p3_n5/baseline/summary.json
case_031,3,5,budget_beam,success,276203,12,12,19.760464166058227,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_031/p3_n5/budget_beam/summary.json
case_031,3,5,local_legacy,success,276203,12,12,15.657561041065492,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_031/p3_n5/local_legacy/summary.json
case_031,3,5,baseline,success,273059,12,12,12.68490954209119,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_031/p3_n5/baseline/summary.json
case_018,2,5,baseline,success,197769,12,12,5.233460874995217,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p2_n5/baseline/summary.json
case_018,3,5,budget_beam,success,196701,12,12,8.987267416901886,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p3_n5/budget_beam/summary.json
case_018,2,5,budget_beam,success,197769,12,12,8.331643000012264,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p2_n5/budget_beam/summary.json
case_046,3,5,local_legacy,success,77846,12,12,2.4097996670752764,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p3_n5/local_legacy/summary.json
case_031,2,5,baseline,success,273240,12,12,11.699610249954276,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_031/p2_n5/baseline/summary.json
case_046,2,5,local_legacy,success,77846,12,12,2.217684290953912,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p2_n5/local_legacy/summary.json
case_046,3,5,budget_greedy,success,77846,12,12,2.5715422090142965,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_046/p3_n5/budget_greedy/summary.json
case_083,3,5,budget_greedy,success,183787,12,12,8.440930249984376,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_083/p3_n5/budget_greedy/summary.json
case_083,2,5,baseline,success,184594,12,12,5.189308917033486,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_083/p2_n5/baseline/summary.json
case_018,3,5,local_legacy,success,196701,12,12,7.219057667069137,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_018/p3_n5/local_legacy/summary.json
case_083,3,5,local_legacy,success,184594,12,12,7.108877249993384,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_083/p3_n5/local_legacy/summary.json
case_031,2,5,local_legacy,success,277319,12,12,14.73048441694118,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_031/p2_n5/local_legacy/summary.json
case_031,2,5,budget_beam,success,277319,12,12,19.63389041693881,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_031/p2_n5/budget_beam/summary.json
case_083,2,5,local_legacy,success,184594,12,12,6.934264292009175,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_083/p2_n5/local_legacy/summary.json
case_083,2,5,budget_greedy,success,183856,12,12,7.42366387497168,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v1/slots/case_083/p2_n5/budget_greedy/summary.json
