case,problem,cores,method,status,makespan,logical_calls,new_calls,elapsed_seconds,stop_reason,failed_calls,generation_errors,summary_path
case_067,1,5,integrated,success,14756232,12,12,25.059094417025335,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_067/p1_n5/integrated/summary.json
case_032,1,5,baseline,success,10415,6,6,1.1444584999699146,budget_or_pool_exhausted,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_032/p1_n5/baseline/summary.json
case_019,1,5,integrated,success,19414,12,12,2.0736059590708464,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_019/p1_n5/integrated/summary.json
case_035,1,5,baseline,success,90079,12,12,8.671731667011045,budget_or_pool_exhausted,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_035/p1_n5/baseline/summary.json
case_040,1,5,baseline,success,110105,12,12,9.129082250059582,budget_or_pool_exhausted,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_040/p1_n5/baseline/summary.json
case_096,1,5,integrated,success,24966,12,12,3.213055125088431,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_096/p1_n5/integrated/summary.json
case_067,1,5,baseline,success,15233731,8,8,17.173773040995002,budget_or_pool_exhausted,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_067/p1_n5/baseline/summary.json
case_072,1,5,baseline,success,4767943,5,5,91.15711483301129,time_budget,2,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_072/p1_n5/baseline/summary.json
case_023,1,5,baseline,success,23846,5,5,1.1073938749032095,budget_or_pool_exhausted,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_023/p1_n5/baseline/summary.json
case_092,1,5,baseline,success,1618214,7,7,58.8915672081057,budget_or_pool_exhausted,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P1扩展_v1/slots/case_092/p1_n5/baseline/summary.json
