case,problem,cores,before,after,before_copy_bytes,after_copy_bytes,reduction_pct,original_singlecore,plan,official_record,official_result
case_003,1,5,409613,232913,3818476,8482342,43.13827930265886,602212,方案/p1/n5/case_003_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T173416-0afecaa3b9474bfe825feae3cac97e07/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T173416-0afecaa3b9474bfe825feae3cac97e07/official_result.json.gz
case_005,1,5,70732,51854,1362706,2089762,26.689475767686478,95618,方案/p1/n5/case_005_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T172648-5756bbcb33ec41a186ca918783f5131e/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T172648-5756bbcb33ec41a186ca918783f5131e/official_result.json.gz
case_005,2,5,37038,36856,1555314,1546098,0.4913872239321826,95618,方案/p2/n5/case_005_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T172937-40f43391694d4f848493746c2c7ca222/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T172937-40f43391694d4f848493746c2c7ca222/official_result.json.gz
case_005,3,5,34188,33821,1555314,1546098,1.0734760734760762,95618,方案/p3/n5/case_005_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T173918-5e3320aa63024d19983ccb1837925471/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T173918-5e3320aa63024d19983ccb1837925471/official_result.json.gz
case_009,2,5,51486,50086,1328826,1290894,2.7191857980810363,153261,方案/p2/n5/case_009_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T172250-4d3ebdbffa1d49e1a1b5cee8d7f16bc0/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T172250-4d3ebdbffa1d49e1a1b5cee8d7f16bc0/official_result.json.gz
case_009,3,5,46976,46646,1328826,1290894,0.7024863760217936,153261,方案/p3/n5/case_009_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T173917-5bb1e488e52844b2bb446bb6447bb9b6/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T173917-5bb1e488e52844b2bb446bb6447bb9b6/official_result.json.gz
case_016,1,5,3304638,3303991,119557168,119557168,0.019578543852605268,7715523,方案/p1/n5/case_016_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T172914-0a3c64ca422f4933847b6f24b29c515d/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T172914-0a3c64ca422f4933847b6f24b29c515d/official_result.json.gz
case_043,1,5,222525,200786,6077368,7616098,9.769239411302099,677656,方案/p1/n5/case_043_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T172830-abff4a4325c94d80a8a875b47fdae0a8/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T172830-abff4a4325c94d80a8a875b47fdae0a8/official_result.json.gz
case_047,1,2,323254,319012,501350,1051490,1.3122807451725227,326508,方案/p1/n2/case_047_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T173344-668c21306dd44a2a9f3e57926646ece3/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T173344-668c21306dd44a2a9f3e57926646ece3/official_result.json.gz
case_047,1,3,323254,219173,501350,3421374,32.197900103324315,326508,方案/p1/n3/case_047_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T173450-b5de26da05df4ff2987fb943a78a0cdc/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T173450-b5de26da05df4ff2987fb943a78a0cdc/official_result.json.gz
case_047,1,4,323254,190683,501350,3231082,41.01140279779987,326508,方案/p1/n4/case_047_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T173518-3a269d9c442d41cb8872f7a02e3c5ba6/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T173518-3a269d9c442d41cb8872f7a02e3c5ba6/official_result.json.gz
case_047,1,5,321049,190683,1331486,3231082,40.60626259542936,326508,方案/p1/n5/case_047_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T173910-3f942ab7688c49b2bb045cc60c8ae622/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T173910-3f942ab7688c49b2bb045cc60c8ae622/official_result.json.gz
