case,problem,cores,method,status,makespan,logical_calls,new_calls,elapsed_seconds,stop_reason,failed_calls,timeout_calls,generation_errors,summary_path,error
case_046,3,5,component_wcc,success,77846,12,12,1.8047960420371965,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23从头验证_v1/case_046/p3_n5/component_wcc/summary.json,
case_094,3,5,component_wcc,success,16819,12,12,1.4483611249597743,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23从头验证_v1/case_094/p3_n5/component_wcc/summary.json,
case_085,3,5,component_wcc,success,3187899,1,1,4.091113250004128,candidate_pools_exhausted,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23从头验证_v1/case_085/p3_n5/component_wcc/summary.json,
case_009,3,5,staged,success,72876,12,12,9.18912112491671,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23从头验证_v1/case_009/p3_n5/staged/summary.json,
case_046,3,5,staged,success,90550,12,12,1.8684391250135377,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23从头验证_v1/case_046/p3_n5/staged/summary.json,
case_009,2,5,component_wcc,success,82126,12,12,9.220712083973922,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23从头验证_v1/case_009/p2_n5/component_wcc/summary.json,
case_009,2,5,staged,success,52200,12,12,9.063208583043888,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23从头验证_v1/case_009/p2_n5/staged/summary.json,
case_085,2,5,staged,success,881711,12,12,69.73034791601822,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23从头验证_v1/case_085/p2_n5/staged/summary.json,
case_085,2,5,component_wcc,success,3187899,1,1,4.650964749976993,candidate_pools_exhausted,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23从头验证_v1/case_085/p2_n5/component_wcc/summary.json,
case_009,3,5,component_wcc,success,82126,12,12,9.830931584001519,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23从头验证_v1/case_009/p3_n5/component_wcc/summary.json,
case_094,3,5,staged,success,21130,12,12,1.8589417079929262,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23从头验证_v1/case_094/p3_n5/staged/summary.json,
case_046,2,5,staged,success,93013,12,12,1.8733023749664426,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23从头验证_v1/case_046/p2_n5/staged/summary.json,
case_046,2,5,component_wcc,success,77846,12,12,1.822188917081803,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23从头验证_v1/case_046/p2_n5/component_wcc/summary.json,
case_094,2,5,component_wcc,success,17755,12,12,1.8777145000640303,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23从头验证_v1/case_094/p2_n5/component_wcc/summary.json,
case_094,2,5,staged,success,21758,12,12,1.777445917017758,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23从头验证_v1/case_094/p2_n5/staged/summary.json,
case_085,3,5,staged,success,918123,12,12,73.56347758299671,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23从头验证_v1/case_085/p3_n5/staged/summary.json,
