case,problem,cores,before,after,before_copy_bytes,after_copy_bytes,reduction_pct,original_singlecore,plan,official_record,official_result
case_009,1,5,83830,81068,447056,531874,3.294763211260887,153261,方案/p1/n5/case_009_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T175656-9d242bbe1db741eca260a9740aca5bc1/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T175656-9d242bbe1db741eca260a9740aca5bc1/official_result.json.gz
case_011,2,5,46828,39795,1624064,1601536,15.01879217562142,184697,方案/p2/n5/case_011_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180135-e42b8768ae8144c4865b86c586abd2dc/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180135-e42b8768ae8144c4865b86c586abd2dc/official_result.json.gz
case_011,3,5,46253,39510,1624064,1601536,14.578513826130202,184697,方案/p3/n5/case_011_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T175900-614f6368bf2344308ce3fbff2b2e0205/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T175900-614f6368bf2344308ce3fbff2b2e0205/official_result.json.gz
case_018,2,5,204654,201731,5324800,5120000,1.4282642899723474,1004367,方案/p2/n5/case_018_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T175907-4cf81640743d4865999113ae75f2473b/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T175907-4cf81640743d4865999113ae75f2473b/official_result.json.gz
case_018,3,5,201238,200235,5324800,5120000,0.4984148123117871,1004367,方案/p3/n5/case_018_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180135-6127d8ad1d774e999a6911c44c1522f5/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180135-6127d8ad1d774e999a6911c44c1522f5/official_result.json.gz
case_031,2,5,304955,300911,8075520,8061696,1.326097293043238,1414369,方案/p2/n5/case_031_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T175646-d7c6ab20682d45ebb30261cfa687d2ff/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T175646-d7c6ab20682d45ebb30261cfa687d2ff/official_result.json.gz
case_031,3,5,304955,300911,8075520,8061696,1.326097293043238,1414369,方案/p3/n5/case_031_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T175704-735d903fb17b4c1eb43802ddadc87c00/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T175704-735d903fb17b4c1eb43802ddadc87c00/official_result.json.gz
case_046,2,3,97230,97004,2502848,2356416,0.23243854777331707,276455,方案/p2/n3/case_046_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180350-dca2479386984db7bf4a85ac6a2817f1/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180350-dca2479386984db7bf4a85ac6a2817f1/official_result.json.gz
case_046,2,5,77211,76824,2582304,2512672,0.5012239188716627,276455,方案/p2/n5/case_046_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T175706-afd35243dd9140f6a310a4086190bb70/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T175706-afd35243dd9140f6a310a4086190bb70/official_result.json.gz
case_046,3,3,92874,91054,2435264,2356416,1.9596442491978339,276455,方案/p3/n3/case_046_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180234-de62ba9fcfb348feacedc0e1cea19d7f/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180234-de62ba9fcfb348feacedc0e1cea19d7f/official_result.json.gz
case_046,3,4,77208,58678,2721568,2582304,24.00010361620557,276455,方案/p3/n4/case_046_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180233-c54e28aa7eb44392a1975ad8e796fc84/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T180233-c54e28aa7eb44392a1975ad8e796fc84/official_result.json.gz
