case,problem,cores,method,status,makespan,logical_calls,new_calls,elapsed_seconds,stop_reason,failed_calls,generation_errors,summary_path
case_046,3,5,local_legacy,success,77846,12,12,2.2984172919532284,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v2/slots/case_046/p3_n5/local_legacy/summary.json
case_011,2,5,integrated,success,41537,12,12,2.888039542012848,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v2/slots/case_011/p2_n5/integrated/summary.json
case_083,3,5,local_legacy,success,184843,12,12,6.31380237499252,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v2/slots/case_083/p3_n5/local_legacy/summary.json
case_011,2,5,local_legacy,success,45422,12,12,2.208353125024587,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v2/slots/case_011/p2_n5/local_legacy/summary.json
case_011,3,5,baseline,success,46329,12,12,1.9550022919429466,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v2/slots/case_011/p3_n5/baseline/summary.json
case_046,2,5,local_legacy,success,77846,12,12,2.089092042064294,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v2/slots/case_046/p2_n5/local_legacy/summary.json
case_046,3,5,baseline,success,77846,12,12,1.9826636250363663,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v2/slots/case_046/p3_n5/baseline/summary.json
case_083,2,5,local_legacy,success,184771,12,12,5.5129307908937335,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v2/slots/case_083/p2_n5/local_legacy/summary.json
case_018,2,5,local_legacy,success,197769,12,12,5.358684583916329,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v2/slots/case_018/p2_n5/local_legacy/summary.json
case_083,3,5,integrated,success,252350,12,12,7.886389540974051,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v2/slots/case_083/p3_n5/integrated/summary.json
case_046,3,5,integrated,success,77846,12,12,2.5504424589453265,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v2/slots/case_046/p3_n5/integrated/summary.json
case_046,2,5,baseline,success,77846,12,12,1.9885550410253927,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v2/slots/case_046/p2_n5/baseline/summary.json
case_011,2,5,baseline,success,46487,12,12,1.9879073749762028,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v2/slots/case_011/p2_n5/baseline/summary.json
case_018,3,5,baseline,success,196701,12,12,5.151323458063416,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v2/slots/case_018/p3_n5/baseline/summary.json
case_011,3,5,integrated,success,41537,12,12,3.0923077079933137,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v2/slots/case_011/p3_n5/integrated/summary.json
case_046,2,5,integrated,success,77846,12,12,2.481080999947153,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v2/slots/case_046/p2_n5/integrated/summary.json
case_018,2,5,baseline,success,197769,12,12,4.785140124964528,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v2/slots/case_018/p2_n5/baseline/summary.json
case_018,3,5,integrated,success,196701,12,12,9.311817332985811,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v2/slots/case_018/p3_n5/integrated/summary.json
case_018,2,5,integrated,success,197737,12,12,9.010863082949072,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v2/slots/case_018/p2_n5/integrated/summary.json
case_083,3,5,baseline,success,184594,12,12,4.840298333088867,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v2/slots/case_083/p3_n5/baseline/summary.json
case_083,2,5,integrated,success,304407,12,12,7.885725166997872,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v2/slots/case_083/p2_n5/integrated/summary.json
case_083,2,5,baseline,success,184594,12,12,4.769840958062559,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v2/slots/case_083/p2_n5/baseline/summary.json
case_011,3,5,local_legacy,success,45993,12,12,2.461827832972631,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v2/slots/case_011/p3_n5/local_legacy/summary.json
case_018,3,5,local_legacy,success,196701,12,12,5.886666500009596,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮开发_v2/slots/case_018/p3_n5/local_legacy/summary.json
