case,cores,method,index,name,phase,generation,accepted,status,cache_hit,makespan,added_copy,plan_sha256
case_032,3,original,1,wcc_start0_simple_a3_per_core_lpt_mv,component,,True,success,False,15402,12360,a4e6eb89430f186beeae0716ac4cdde7aee70b9258a37e0a99aeb22a3eee6e6b
case_032,3,original,2,wcc_task_4_mv_complement_batch2,component,,True,success,False,13738,18432,56505df969e9ea2dc2afe1f2892353ebc96741de185b1fea0fd139e942a97220
case_032,3,original,3,merge256,task_refine,,True,success,False,13587,12288,a88d604f5e1985e448c57f3b51c5ca2102c4d00777328230ca85ceb6d5790740
case_032,3,original,4,merge512,task_refine,,False,success,False,14655,6144,cf3479ecc34993f4d071e04c39d5bec894c940e82275571473a503626bf8cc74
case_032,3,original,5,observed_duration,task_refine,,False,success,False,13738,18432,0b685fd83b09a308763889ecbbc79a0c598630a62a4fde653dfbd8277cdb10ee
case_032,3,single,1,wcc_start0_simple_a3_per_core_lpt_mv,component,0,True,success,False,15402,12360,a4e6eb89430f186beeae0716ac4cdde7aee70b9258a37e0a99aeb22a3eee6e6b
case_032,3,single,2,wcc_task_4_mv_complement_batch2,component,0,True,success,False,13738,18432,56505df969e9ea2dc2afe1f2892353ebc96741de185b1fea0fd139e942a97220
case_032,3,single,3,merge256,task_refine,1,True,success,False,13587,12288,a88d604f5e1985e448c57f3b51c5ca2102c4d00777328230ca85ceb6d5790740
case_032,3,single,4,merge512,task_refine,1,False,success,False,14655,6144,cf3479ecc34993f4d071e04c39d5bec894c940e82275571473a503626bf8cc74
case_032,3,single,5,observed_duration,task_refine,1,False,success,False,13738,18432,0b685fd83b09a308763889ecbbc79a0c598630a62a4fde653dfbd8277cdb10ee
case_032,3,iterative,1,wcc_start0_simple_a3_per_core_lpt_mv,component,0,True,success,False,15402,12360,a4e6eb89430f186beeae0716ac4cdde7aee70b9258a37e0a99aeb22a3eee6e6b
case_032,3,iterative,2,wcc_task_4_mv_complement_batch2,component,0,True,success,False,13738,18432,56505df969e9ea2dc2afe1f2892353ebc96741de185b1fea0fd139e942a97220
case_032,3,iterative,3,merge256,task_refine,1,True,success,False,13587,12288,a88d604f5e1985e448c57f3b51c5ca2102c4d00777328230ca85ceb6d5790740
case_032,3,iterative,4,merge512,task_refine,2,False,success,False,14655,6144,cf3479ecc34993f4d071e04c39d5bec894c940e82275571473a503626bf8cc74
case_032,3,iterative,5,observed_duration,task_refine,2,False,success,False,13587,12288,523196ff866998986ac4b4068c25336571687513865021d70b6273f17ca8f779
case_069,5,single,1,wcc_start0_simple_a1_per_core_lpt_mv,component,0,True,success,False,25144,0,60e23d9410576f4bb3aeeed854f5684d5df927fd8abacd5c55d349d937db78a2
case_069,5,single,2,selective_whole_critical_path_x1_a5_eft,partition,0,False,success,False,25144,0,80cb800066d4e10a45eaccd5a4bc5beef57abcaf68d070c5a41f08088fbc6c4f
case_069,5,single,3,selective_local_quantile_stable_id_x1_a5_eft,partition,0,False,success,False,25643,199306,a4ed2574832382ba8cc009da115d1760ffd44d7a207c1aba07107eee8e9ee138
case_069,5,single,4,selective_phase_band_critical_path_x2_a5_eft,partition,0,True,success,False,16908,622330,25ef0417d864a33ee30af21c10b2be5073bba7624c22778e4283662b5e5e1378
case_069,5,single,5,selective_phase_band_critical_path_x1_a5_eft,partition,0,False,success,False,17284,435596,d3358d4229a919c40f8c4160437c89d2afbe4a0bd00b4d68e590d6d9273fb932
case_069,5,single,6,selective_phase_band_stable_id_x2_a5_eft,partition,0,False,success,False,16908,622330,8f7cf0fd91a0a112b6d96157ba21a9b7e1df8b22a37512f86a9f941d97664744
case_069,5,single,7,selective_phase_band_stable_id_x1_a5_eft,prefix_fallback,0,False,success,False,17284,435596,6963d358a08915a45d3b0b820509f488c09677affba258aa708ccdd0f6da998a
case_069,5,single,8,selective_phase_band_critical_path_x2_a5_balanced,prefix_fallback,0,False,success,False,19793,622330,14c5ad26e742016c8819cac34b7cd55f640629b22daf5d6888553863e973fe1e
case_069,5,single,9,merge16,task_refine,1,False,success,False,18873,551482,bbb5603fb95f013c128b0c797d162816ec6b3ebb627b8f71ffcb4a05e5b95e0f
case_069,5,single,10,local_duration,task_refine,1,False,success,False,17643,622330,85862fa3ade2b2c266559f1a69cc99f83f5a918067c23aed3da774f9e2ab87ae
case_069,5,single,11,observed_duration,task_refine,1,True,success,False,16818,622330,99f097c2a5962bdb070d725efb3c66d43117d0cfb583acd2dbf675e8ad535600
case_069,5,single,12,selective_phase_band_critical_path_x1_a5_balanced,partition_fallback,1,False,success,False,17731,435596,cbb62e26a37284b28a41a498ceed117d30ef6853dbcca5c88490f1460b6abe2b
case_069,5,iterative,1,wcc_start0_simple_a1_per_core_lpt_mv,component,0,True,success,False,25144,0,60e23d9410576f4bb3aeeed854f5684d5df927fd8abacd5c55d349d937db78a2
case_069,5,iterative,2,selective_whole_critical_path_x1_a5_eft,partition,0,False,success,False,25144,0,80cb800066d4e10a45eaccd5a4bc5beef57abcaf68d070c5a41f08088fbc6c4f
case_069,5,iterative,3,selective_local_quantile_stable_id_x1_a5_eft,partition,0,False,success,False,25643,199306,a4ed2574832382ba8cc009da115d1760ffd44d7a207c1aba07107eee8e9ee138
case_069,5,iterative,4,selective_phase_band_critical_path_x2_a5_eft,partition,0,True,success,False,16908,622330,25ef0417d864a33ee30af21c10b2be5073bba7624c22778e4283662b5e5e1378
case_069,5,iterative,5,selective_phase_band_critical_path_x1_a5_eft,partition,0,False,success,False,17284,435596,d3358d4229a919c40f8c4160437c89d2afbe4a0bd00b4d68e590d6d9273fb932
case_069,5,iterative,6,selective_phase_band_stable_id_x2_a5_eft,partition,0,False,success,False,16908,622330,8f7cf0fd91a0a112b6d96157ba21a9b7e1df8b22a37512f86a9f941d97664744
case_069,5,iterative,7,selective_phase_band_stable_id_x1_a5_eft,prefix_fallback,0,False,success,False,17284,435596,6963d358a08915a45d3b0b820509f488c09677affba258aa708ccdd0f6da998a
case_069,5,iterative,8,selective_phase_band_critical_path_x2_a5_balanced,prefix_fallback,0,False,success,False,19793,622330,14c5ad26e742016c8819cac34b7cd55f640629b22daf5d6888553863e973fe1e
case_069,5,iterative,9,merge16,task_refine,1,False,success,False,18873,551482,bbb5603fb95f013c128b0c797d162816ec6b3ebb627b8f71ffcb4a05e5b95e0f
case_069,5,iterative,10,local_duration,task_refine,1,False,success,False,17643,622330,85862fa3ade2b2c266559f1a69cc99f83f5a918067c23aed3da774f9e2ab87ae
case_069,5,iterative,11,observed_duration,task_refine,1,True,success,False,16818,622330,99f097c2a5962bdb070d725efb3c66d43117d0cfb583acd2dbf675e8ad535600
case_069,5,iterative,12,merge8,task_refine,2,False,success,False,19572,555514,62198a93f470f1edf85634b6e2c9db6cb892e36fe86ff5ee1554266dde4c1488
case_069,5,original,1,wcc_start0_simple_a1_per_core_lpt_mv,component,,True,success,False,25144,0,60e23d9410576f4bb3aeeed854f5684d5df927fd8abacd5c55d349d937db78a2
case_069,5,original,2,selective_whole_critical_path_x1_a5_eft,partition,,False,success,False,25144,0,80cb800066d4e10a45eaccd5a4bc5beef57abcaf68d070c5a41f08088fbc6c4f
