case,problem,cores,variant,call,name,new_strategy,status,makespan,added_copy,evaluation_seconds,peak_rss,generation_seconds,accepted,record_path
case_025,1,5,baseline,1,wcc_start0_simple_a5_per_core_lpt_mv,False,success,975282,110592,34.2415194829955,238571520,2.3715816939948127,True,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_v1/slots/case_025/p1_n5/baseline/evaluations/attempts/20260925T205435-32e7d5efd46e4a23b3d352a07f5ca694/record.json
case_025,1,5,baseline,2,selective_whole_critical_path_x1_a5_eft,False,success,1757768,73681920,51.38147312900401,243228672,3.0623499310022453,False,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_v1/slots/case_025/p1_n5/baseline/evaluations/attempts/20260925T205512-966cd1788bd6416eb6b7e8e68e8d8741/record.json
case_025,1,5,baseline,3,selective_whole_critical_path_x1_a3_eft,False,success,2291536,73681920,54.58672372800356,242597888,0.025795135006774217,False,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_v1/slots/case_025/p1_n5/baseline/evaluations/attempts/20260925T205603-dc4a8fe60a1941e38f6f5aa3a8886f12/record.json
case_025,1,5,v2,1,wcc_start0_simple_a5_per_core_lpt_mv,False,success,975282,110592,35.37651722499868,238522368,2.315593381994404,True,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_v1/slots/case_025/p1_n5/v2/evaluations/attempts/20260925T205435-44576f4edffe4e0ab380805cf4a6f255/record.json
case_025,1,5,v2,2,v2_p1_branch_s2_critical,True,timeout,,,60.09523537699715,232140800,1.036678122007288,False,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_v1/slots/case_025/p1_n5/v2/evaluations/attempts/20260925T205511-d0aaf0d163d84f9f801ac39846da46b4/record.json
case_025,1,5,v2,3,selective_whole_critical_path_x1_a5_eft,False,success,1757768,73681920,51.45996201499656,243134464,3.0721777840080904,False,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_v1/slots/case_025/p1_n5/v2/evaluations/attempts/20260925T205614-24fcf1c7f79f4acb961d86d8b2226ceb/record.json
case_025,2,5,baseline,1,wcc_start0_simple_a5_per_core_lpt_mv,False,success,975282,110592,6.69994897399738,256106496,2.3416287300060503,True,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_v1/slots/case_025/p2_n5/baseline/evaluations/attempts/20260925T205435-0ae22977015f4d27a27a4ac49bae44bf/record.json
case_025,2,5,baseline,2,op_critical_path_w100,False,success,2261757,92602368,16.930275040998822,510754816,3.805966233005165,False,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_v1/slots/case_025/p2_n5/baseline/evaluations/attempts/20260925T205445-476d5b0977c444fea17685bf88c3f414/record.json
case_025,2,5,baseline,3,op_stable_id_w100,False,success,1264925,15478272,9.40129121899372,309067776,0.02178953400289174,False,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_v1/slots/case_025/p2_n5/baseline/evaluations/attempts/20260925T205502-26faaa15da904b218ddb3cb98b33fbc5/record.json
case_025,2,5,baseline,4,op_critical_path_w200,False,success,2263710,92602368,15.12145728500036,510464000,0.06500545000017155,False,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_v1/slots/case_025/p2_n5/baseline/evaluations/attempts/20260925T205512-882412b84f444e2a8887d0b3f4647a4a/record.json
case_025,2,5,baseline,5,op_stable_id_w200,False,success,1193513,13673472,8.859826731000794,301363200,0.026330089996918105,False,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_v1/slots/case_025/p2_n5/baseline/evaluations/attempts/20260925T205527-326ec0424bb2474d8d8ec47a9cac4876/record.json
case_025,2,5,baseline,6,op_release_priority_w100,False,success,1912398,77552640,14.769667261993163,460525568,0.04116683400934562,False,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_v1/slots/case_025/p2_n5/baseline/evaluations/attempts/20260925T205536-7b50257b9b0d4367b082cb5534ce39ba/record.json
case_025,2,5,baseline,7,op_seeded_priority_w100,False,success,1758476,85492224,19.58095457300078,518766592,0.03406041199923493,False,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_v1/slots/case_025/p2_n5/baseline/evaluations/attempts/20260925T205550-ed940638295d46ee9f2065fd63518c00/record.json
case_025,2,5,baseline,8,op_stable_id_w025,False,success,1320478,20585472,9.804983726004139,319791104,0.03363080299459398,False,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_v1/slots/case_025/p2_n5/baseline/evaluations/attempts/20260925T205610-06016f1b65f642c6a262d3208fe810bd/record.json
case_025,2,5,v2,1,wcc_start0_simple_a5_per_core_lpt_mv,False,success,975282,110592,6.557911755997338,256233472,2.2863619519921485,True,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_v1/slots/case_025/p2_n5/v2/evaluations/attempts/20260925T205435-037b3a37f97849c6844b52c78f657328/record.json
case_025,2,5,v2,2,v2_p2_branch_s2_residency,True,success,974390,20585472,10.107781786995474,328814592,6.989009358003386,True,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_v1/slots/case_025/p2_n5/v2/evaluations/attempts/20260925T205448-4b0fc35c69964213803642b7ad8808cc/record.json
case_025,2,5,v2,3,op_critical_path_w100,False,success,2261757,92602368,16.429561466997257,510468096,3.435328863997711,False,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_v1/slots/case_025/p2_n5/v2/evaluations/attempts/20260925T205502-df2c7a841cd34093b665066f827438fa/record.json
case_025,2,5,v2,4,op_stable_id_w100,False,success,1264925,15478272,9.759913649002556,309669888,0.022523526000441052,False,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_v1/slots/case_025/p2_n5/v2/evaluations/attempts/20260925T205641-93043cf3395f4f6890d587132ffdd8fe/record.json
case_025,2,5,v2,5,op_critical_path_w200,False,success,2263710,92602368,15.973961298004724,510672896,0.04999226199288387,False,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_v1/slots/case_025/p2_n5/v2/evaluations/attempts/20260925T205651-01ecc58739e44a9490f9524593064412/record.json
case_025,2,5,v2,6,op_stable_id_w200,False,success,1193513,13673472,7.546686372006661,301088768,0.024974085987196304,False,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_v1/slots/case_025/p2_n5/v2/evaluations/attempts/20260925T205707-ef4061d1c6a941ed8966068ede287bbc/record.json
case_025,3,5,baseline,1,wcc_start0_simple_a5_per_core_lpt_mv,False,success,975282,110592,6.403098914990551,256344064,2.164304477002588,True,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_v1/slots/case_025/p3_n5/baseline/evaluations/attempts/20260925T205623-4bc996167bd44cea8d788468cdfbca9c/record.json
case_025,3,5,baseline,2,op_critical_path_w100,False,success,2261842,92602368,17.73348122400057,510537728,3.6169941510015633,False,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_v1/slots/case_025/p3_n5/baseline/evaluations/attempts/20260925T205633-cbdd982f87f24622a3e0671355c3add6/record.json
case_025,3,5,baseline,3,op_stable_id_w100,False,success,1264904,15478272,10.410154188008164,309194752,0.06686476798495278,False,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_v1/slots/case_025/p3_n5/baseline/evaluations/attempts/20260925T205651-fdefa33d0a5b4f03aa8abeeef717faa2/record.json
case_025,3,5,baseline,4,op_critical_path_w200,False,success,2262248,92602368,14.516202394996071,510779392,0.048499109005206265,False,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_v1/slots/case_025/p3_n5/baseline/evaluations/attempts/20260925T205701-3c41678a57354fb18be53a80bc81431c/record.json
case_025,3,5,baseline,5,op_stable_id_w200,False,success,1193330,13673472,7.848823091000668,301805568,0.017719416006002575,False,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_v1/slots/case_025/p3_n5/baseline/evaluations/attempts/20260925T205716-4c39f68a40574b398b0f16d14be31c5a/record.json
case_025,3,5,baseline,6,op_release_priority_w100,False,success,1933849,77552640,14.417193650006084,460222464,0.03272920599556528,False,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_v1/slots/case_025/p3_n5/baseline/evaluations/attempts/20260925T205723-e176333fab20432486cfcaaf015b0996/record.json
