batch,case,cores,method,candidate,phase,status,makespan,cache_hit,accepted,official_record
综合回归_v1,case_081,5,portfolio,wcc_start0_simple_a5_per_core_lpt_mv,component,success,30943,True,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104654-25b9c07e1c9349b7b87fcec14bbe3cd3/record.json
综合回归_v1,case_081,5,portfolio,wcc_task_4_mv_complement_batch2,component,success,31641,True,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104654-f5983a42055d46ab856384bca32972cf/record.json
综合回归_v1,case_081,5,portfolio,stable_id_b5_p1_eft,partition,success,30943,True,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104654-8fc6bed3f2534617aa0ce0be180eceb3/record.json
综合回归_v1,case_081,5,portfolio,stable_id_b10_p1_eft,partition,success,31738,True,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104654-88620cb6dd764bb1b73fb5deaa4f4757/record.json
综合回归_v1,case_081,5,portfolio,local_duration,task_refine,success,30943,True,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104655-c3b05bdf57c74e37a93189f29bbfad28/record.json
综合回归_v1,case_081,5,portfolio,split512,task_refine,success,31641,True,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104655-839bed7f5d1944eea65c3d02fc17fb61/record.json
综合回归_v1,case_081,5,portfolio,wcc_start0_simple_a5_per_core_lpt_mv,component,success,30943,True,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104638-a521132ad9114bf2a24ad91b31915494/record.json
综合回归_v1,case_081,5,portfolio,wcc_task_4_mv_complement_batch2,component,success,31641,True,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104638-ad8a3d0258434a1ca53f4dd73dc9a444/record.json
综合回归_v1,case_081,5,portfolio,stable_id_b5_p1_eft,partition,success,30943,True,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104638-8526199096b840a58b07f69cadafb7ed/record.json
综合回归_v1,case_081,5,portfolio,stable_id_b10_p1_eft,partition,success,31738,True,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104638-b4b2d5fd585e4ca18d0db9130a04c8ad/record.json
综合回归_v1,case_081,5,portfolio,local_duration,task_refine,success,30943,True,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104639-6bc5120dde324036a74e36618ec66d8d/record.json
综合回归_v1,case_081,5,portfolio,split512,task_refine,success,31641,True,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104639-4d4ca8c834864fb6afcd102c2881a5ab/record.json
综合回归_v1,case_081,5,portfolio,wcc_start0_simple_a5_per_core_lpt_mv,component,success,30943,True,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104643-fd5e75eaa02746c1bb5db12494f3c1d1/record.json
综合回归_v1,case_081,5,portfolio,wcc_task_4_mv_complement_batch2,component,success,31641,True,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T104643-5a06eed3dab840c3b5a837707cec5c6e/record.json
