case,problem,cores,group,first_variant,first_call,candidate,makespan,added_bytes,scheduled_bytes,original_bytes,partition_added_bytes,spill_bytes,hit_rate,hit_bytes,active_cores,miss_bytes,eligible_bytes,effective_ddr_byte_proxy,cache_key,plan_path,result_path
case_065,3,5,validation,strong,1,wcc_start0_simple_a5_per_core_lpt_mv,12169,55584,371786,316202,55584,0,0.156440681782361,55584,5,299720,355304,316202,2ceacd12141543e707a09e13e9d6f3d2191893f3bfe98e543e9cb48575c3313d,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_065/p3_n5/strong/prefix/evaluations/attempts/20260926T000915-5f9cc05e11be442b9f0850afa449122d/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_065/p3_n5/strong/prefix/evaluations/attempts/20260926T000915-5f9cc05e11be442b9f0850afa449122d/official_result.json.gz
case_065,3,5,validation,strong,2,whole_graph_single_active,53068,0,316202,316202,0,0,0.0,0,1,299720,299720,316202,00500e9d5cff635b77e17dfde9af0cd6ca7b6440209e83e281129a66f103e8d1,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_065/p3_n5/strong/prefix/evaluations/attempts/20260926T000915-1ee91fddc880496c850b11deb0d70452/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_065/p3_n5/strong/prefix/evaluations/attempts/20260926T000915-1ee91fddc880496c850b11deb0d70452/official_result.json.gz
case_065,3,5,validation,strong,3,wcc_protected_interleave_v2_reencode_control,12595,55584,371786,316202,55584,0,0.156440681782361,55584,5,299720,355304,316202,dba87ad08c25ca5a7307fe572f0d7bf690a34e446ebab85088cda46369e5dbcd,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_065/p3_n5/strong/prefix/evaluations/attempts/20260926T000915-31e4baf61d724d25afdafa1380d8d31d/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_065/p3_n5/strong/prefix/evaluations/attempts/20260926T000915-31e4baf61d724d25afdafa1380d8d31d/official_result.json.gz
case_065,3,5,validation,strong,4,wcc_protected_interleave_v2_w2_base_earliest_start,10768,55584,371786,316202,55584,0,0.156440681782361,55584,5,299720,355304,316202,425aa5f7b5b744146d541689c2751e9e405180f933e2cd7e5d35655a49af2880,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_065/p3_n5/strong/prefix/evaluations/attempts/20260926T000916-344f07906e544e73953eede649a83f96/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_065/p3_n5/strong/prefix/evaluations/attempts/20260926T000916-344f07906e544e73953eede649a83f96/official_result.json.gz
case_065,3,5,validation,strong,5,wcc_task_5_mv_complement_batch2,11817,55440,371642,316202,55440,0,0.03932875323797725,13968,5,341192,355160,357674,05991f3f900cb8a7dbc7de6a1387804cc68bdcf56b79e9da0088bb3a5dfdbb55,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_065/p3_n5/strong/prefix/evaluations/attempts/20260926T000916-0980a5ef159d47bd926d3b23ccd20127/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_065/p3_n5/strong/prefix/evaluations/attempts/20260926T000916-0980a5ef159d47bd926d3b23ccd20127/official_result.json.gz
case_065,3,5,validation,strong,6,wcc_unrestricted_interleave_w2_complement_earliest_start,8775,55584,371786,316202,55584,0,0.09159480332335126,32544,5,322760,355304,339242,298d5846af27eb2678d2cdb9ec82ae27e7d9a1675de23eb265ace7933134ddef,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_065/p3_n5/strong/prefix/evaluations/attempts/20260926T000916-1805d520e4fe45da99435ec1bc6ba7c0/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_065/p3_n5/strong/prefix/evaluations/attempts/20260926T000916-1805d520e4fe45da99435ec1bc6ba7c0/official_result.json.gz
case_065,3,5,validation,strong,7,wcc_start0_affinity_a5_per_component_w15,11881,55584,371786,316202,55584,0,0.07862562763154932,27936,5,327368,355304,343850,702b6c4a71f55677c2b5bfa2f87407a6342707d9abb8af952705f27cb4b6f996,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_065/p3_n5/strong/prefix/evaluations/attempts/20260926T000917-6bd6a1a3a75a4db18c953596a5b849f5/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_065/p3_n5/strong/prefix/evaluations/attempts/20260926T000917-6bd6a1a3a75a4db18c953596a5b849f5/official_result.json.gz
case_065,3,5,validation,strong,8,wcc_protected_interleave_v2_w4_base_earliest_start,9667,55584,371786,316202,55584,0,0.06565645193974737,23328,5,331976,355304,348458,dcbeb12d4466145ac882c03d5e77ce2a295d5a9d50ea7e96e2cf2bd31aeee77a,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_065/p3_n5/strong/prefix/evaluations/attempts/20260926T000917-c41d5b00b61d41109df7fac5a526111e/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_065/p3_n5/strong/prefix/evaluations/attempts/20260926T000917-c41d5b00b61d41109df7fac5a526111e/official_result.json.gz
case_065,3,5,validation,strong,9,wcc_task_4_mv_complement_batch2,12999,41616,357818,316202,41616,0,0.01392176623620128,4752,4,336584,341336,353066,03bce7813385509a2e0af606226372d6984fc7e6ea0b27779bd9fca2f0a3e309,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_065/p3_n5/strong/prefix/evaluations/attempts/20260926T000917-67081e97894142e1a88e722c19e34964/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_065/p3_n5/strong/prefix/evaluations/attempts/20260926T000917-67081e97894142e1a88e722c19e34964/official_result.json.gz
case_065,3,5,validation,strong,10,wcc_unrestricted_interleave_w4_complement_earliest_start,8335,55584,371786,316202,55584,0,0.10456397901515323,37152,5,318152,355304,334634,eef78295ac290073915736dc0161a7dffd4c814d5528f880b9f574aa1a9827a8,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_065/p3_n5/strong/prefix/evaluations/attempts/20260926T000917-df51fef0ca254a8cb4e04e40e2afc858/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_065/p3_n5/strong/prefix/evaluations/attempts/20260926T000917-df51fef0ca254a8cb4e04e40e2afc858/official_result.json.gz
