group,case,problem,num_cores,policy,before,after,logical_calls,new_calls,failed_calls,elapsed_seconds,generation_seconds,stop_reason,status,summary_path,reduction_pct
开发,case_011,2,5,region,46828,41030,12,12,0,2.0160479999613017,0.19680304289795458,call_budget,success,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/区域搜索第十一轮开发_v1/slots/case_011/p2_n5/region/summary.json,12.381481165114893
开发,case_011,2,5,data,46828,46828,12,11,0,2.3309278750093654,0.6852695000125095,call_budget,success,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/区域搜索第十一轮开发_v1/slots/case_011/p2_n5/data/summary.json,0.0
开发,case_011,3,5,region,46253,41013,12,12,0,1.9813495830167085,0.19596412498503923,call_budget,success,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/区域搜索第十一轮开发_v1/slots/case_011/p3_n5/region/summary.json,11.328994876008046
开发,case_011,3,5,data,46253,46253,12,11,0,2.332601041998714,0.6838257079944015,call_budget,success,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/区域搜索第十一轮开发_v1/slots/case_011/p3_n5/data/summary.json,0.0
开发,case_018,2,5,region,204654,203568,12,12,0,4.325201458996162,0.484045373974368,call_budget,success,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/区域搜索第十一轮开发_v1/slots/case_018/p2_n5/region/summary.json,0.5306517341464145
开发,case_018,2,5,data,204654,202434,12,11,0,8.155216875020415,4.607171873911284,call_budget,success,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/区域搜索第十一轮开发_v1/slots/case_018/p2_n5/data/summary.json,1.0847576885865906
开发,case_018,3,5,region,201238,200875,12,12,0,4.612696583964862,0.4888672501547262,call_budget,success,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/区域搜索第十一轮开发_v1/slots/case_018/p3_n5/region/summary.json,0.18038342658941442
开发,case_074,2,5,region,331744,329684,12,12,0,5.165483042015694,0.40238716593012214,call_budget,success,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/区域搜索第十一轮开发_v1/slots/case_074/p2_n5/region/summary.json,0.6209607408121931
开发,case_018,3,5,data,201238,200897,12,10,0,8.078648000024259,4.71729979198426,call_budget,success,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/区域搜索第十一轮开发_v1/slots/case_018/p3_n5/data/summary.json,0.16945109770520883
开发,case_074,3,5,region,326680,326680,12,12,0,5.936242332914844,0.47365620802156627,call_budget,success,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/区域搜索第十一轮开发_v1/slots/case_074/p3_n5/region/summary.json,0.0
