round,case,problem,name,accepted,status,cache_hit,seconds,error,record_path,makespan,plan_sha256
1,case_025,1,charged_incumbent_replay,True,success,False,32.925228173000505,,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_冒进第一轮_20260925/slots/case_025/p1_n5/attack/evaluations/attempts/20260925T224736-bc68a63148e0485d907d0bb48477d0bb/record.json,975282,e48afe849dfcd61d22619e886a0e31c2903b11b87250ea3d3be4386f585119c7
1,case_025,1,owner_first_r0_w0.03_s2,False,timeout,False,35.02570181601914,worker exceeded 35 seconds,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_冒进第一轮_20260925/slots/case_025/p1_n5/attack/evaluations/attempts/20260925T224809-924bf6f8cf71445d8f6611db1415fd8c/record.json,,a5aece77230b035d1bb2f8625d328bf750bca28b53be57e195eb314f979140da
1,case_025,1,owner_first_r1_w0.1_s4,False,timeout,False,35.024853830982465,worker exceeded 35 seconds,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_冒进第一轮_20260925/slots/case_025/p1_n5/attack/evaluations/attempts/20260925T224845-d2148d03b8f84da6b82e9ff24627964a/record.json,,ec094da437cff194dbcd7779d25678b2a4a103fe787b07405ab8efea3511aa2e
1,case_025,1,owner_first_r2_w0.2_s8,False,timeout,False,35.02879569999641,worker exceeded 35 seconds,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_冒进第一轮_20260925/slots/case_025/p1_n5/attack/evaluations/attempts/20260925T224920-7a43f33f8e2e48878a5ce49ce0e57331/record.json,,d979c48e1e86dbd03cf9acac8272de6ff0262bb8c7725c1dbdf3ee9eb5821855
1,case_025,1,owner_first_r3_w0.5_s16,False,timeout,False,8.925396149978042,worker exceeded 8.9001 seconds,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_冒进第一轮_20260925/slots/case_025/p1_n5/attack/evaluations/attempts/20260925T224956-d8c6f9fa105946fca631b2c5d37f0181/record.json,,2ff1ebd3f9226dba9703f82e9beee3666cd5b44dca0cf41f4cba170b7ed5fee6
1,case_025,2,charged_incumbent_replay,True,success,False,10.66382321700803,,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_冒进第一轮_20260925/slots/case_025/p2_n5/attack/evaluations/attempts/20260925T224736-149f638fbc07438c8b7d34de4eaff224/record.json,974390,50b5ca26c685baafba0c585cbbf786f9ff90b7a753379dd44fb7a927877c3b69
1,case_025,2,owner_first_r1_w0.1_s4,False,success,False,18.778457525011618,,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_冒进第一轮_20260925/slots/case_025/p2_n5/attack/evaluations/attempts/20260925T224747-23b3f2bffa114af5a3dd4a29113ca81e/record.json,1783968,c66a1da0917c0b43db61eebee95fd2f3f8ed774e7f27ee6692666cef7492d55c
1,case_025,2,owner_first_r3_w0.5_s16,False,success,False,19.23121696698945,,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_冒进第一轮_20260925/slots/case_025/p2_n5/attack/evaluations/attempts/20260925T224807-efeb66b6f5d1411aa6cab1f713ca47e6/record.json,1834653,e8c86c3d5222148f817f5db2f6b9a21a7a2728225e5b9ade1402dc11ba7d381c
1,case_025,2,owner_first_r4_w1.0_s4,False,success,False,9.757049452979118,,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_冒进第一轮_20260925/slots/case_025/p2_n5/attack/evaluations/attempts/20260925T224827-1bb1279957764de7a9416ca0df419f13/record.json,977330,24f879dceab9628aef7e25f97504244f7bdfd23cd38dd429e353cbcd68362b46
1,case_025,2,owner_first_r5_w2.0_s8,False,success,False,19.988557285018032,,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_冒进第一轮_20260925/slots/case_025/p2_n5/attack/evaluations/attempts/20260925T224838-eaf4af0c9b7243d2a288c293e0e0c635/record.json,1820194,ea2e7ed11ef425088bff49e157bb974952a043357b651847c03d0142d6581b06
1,case_025,2,owner_first_r6_w4.0_s16,False,success,False,11.16413101699436,,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_冒进第一轮_20260925/slots/case_025/p2_n5/attack/evaluations/attempts/20260925T224858-f60f329954c74a01ba09ced3d8ae055c/record.json,982046,1ba5cb3bda2b0712e636fbb3741d4ed003d5433d847cb86e8e2b664d3f10542c
1,case_025,2,owner_first_r7_w0.02_s2,False,success,False,22.818843541987007,,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_冒进第一轮_20260925/slots/case_025/p2_n5/attack/evaluations/attempts/20260925T224910-f97fe3231ceb442283743cb0ee1c3a04/record.json,2140255,9cfc7ab365cbf250e3c0494861d449f5d485c0c57e755f3501cd72e89d5c8c8e
1,case_025,3,charged_incumbent_replay,True,success,False,11.077278823999222,,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_冒进第一轮_20260925/slots/case_025/p3_n5/attack/evaluations/attempts/20260925T224736-3c1776d618594b829ffb013f23b92869/record.json,974390,9b0e841c1a299aea872dda718127ccaae2eaf00a86456c3a66892d0ca35c6a58
1,case_025,3,owner_first_r1_w0.1_s4,False,success,False,20.184835472988198,,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_冒进第一轮_20260925/slots/case_025/p3_n5/attack/evaluations/attempts/20260925T224748-0b925360d95e4810937c61f58fd5c5c2/record.json,1780258,c66a1da0917c0b43db61eebee95fd2f3f8ed774e7f27ee6692666cef7492d55c
1,case_025,3,owner_first_r2_w0.2_s8,False,success,False,10.406719142018119,,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_冒进第一轮_20260925/slots/case_025/p3_n5/attack/evaluations/attempts/20260925T224808-e6cda31982f6436792db5849de6be255/record.json,974416,1204e9b09274986f7f24f2f91da1cdaf29ab3817d168e98ad88700fb00c4049a
1,case_025,3,owner_first_r3_w0.5_s16,False,success,False,19.681489612004953,,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_冒进第一轮_20260925/slots/case_025/p3_n5/attack/evaluations/attempts/20260925T224819-93b49fc6ebb64058bce1c1c551447f8f/record.json,1835311,e8c86c3d5222148f817f5db2f6b9a21a7a2728225e5b9ade1402dc11ba7d381c
1,case_025,3,owner_first_r4_w1.0_s4,False,success,False,10.32305420699413,,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_冒进第一轮_20260925/slots/case_025/p3_n5/attack/evaluations/attempts/20260925T224840-e7bad02c367d424994f07cc0602cf44b/record.json,975158,54f5f84e02b4223532383f3e08948dfc8ea40a45411006cae858a0ead9632e6c
1,case_025,3,owner_first_r5_w2.0_s8,False,success,False,22.092242643004283,,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_冒进第一轮_20260925/slots/case_025/p3_n5/attack/evaluations/attempts/20260925T224851-fcc674a542c0424bba7bcc6438f4f968/record.json,1820801,ea2e7ed11ef425088bff49e157bb974952a043357b651847c03d0142d6581b06
1,case_025,3,owner_first_r6_w4.0_s16,False,success,False,12.070200774003752,,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_冒进第一轮_20260925/slots/case_025/p3_n5/attack/evaluations/attempts/20260925T224913-82ebc57efac244a598f3d343edc440a5/record.json,976862,fe852b27ba900f6089f66662507112735d5c6a4ecd03bef5adaa9bba34bd58ef
1,case_025,3,owner_first_r7_w0.02_s2,False,success,False,22.489889652002603,,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_冒进第一轮_20260925/slots/case_025/p3_n5/attack/evaluations/attempts/20260925T224926-9cc692c8319c4810b6bd764d27e71db4/record.json,2139240,9cfc7ab365cbf250e3c0494861d449f5d485c0c57e755f3501cd72e89d5c8c8e
1,case_043,1,charged_incumbent_replay,True,success,False,3.6487418790056836,,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_冒进第一轮_20260925/slots/case_043/p1_n5/attack/evaluations/attempts/20260925T224735-2682b13c2d484ad9a7e591a6c3a111ea/record.json,222525,3058a73686828131ac088d7fe3776021cabd7e9a65dcd7088ac508612ce1491b
1,case_043,1,owner_first_r0_w0.03_s2,False,success,False,10.062117535999278,,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_冒进第一轮_20260925/slots/case_043/p1_n5/attack/evaluations/attempts/20260925T224739-857b422d3dce40c2949345bb201031e4/record.json,510444,16e93b746869c027592c0649261303c6854f17869797106ab69ffc3307a09efa
