case,problem,cores,method,status,effective_method,makespan,logical_calls,new_calls,elapsed_seconds,stop_reason,failed_calls,timeout_calls,generation_errors,summary_path,error
case_098,2,5,staged,success,staged,47834,12,8,1.6730221250327304,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构验证_v1/case_098/p2_n5/staged/summary.json,
case_053,3,5,routed,success,component_wcc,418489,12,8,17.503475166042335,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构验证_v1/case_053/p3_n5/routed/summary.json,
case_040,3,5,routed,success,staged,93482,12,8,3.6775609579635784,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构验证_v1/case_040/p3_n5/routed/summary.json,
case_004,2,5,routed,success,component_wcc,83319,12,6,0.9735143340658396,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构验证_v1/case_004/p2_n5/routed/summary.json,
case_087,3,5,staged,success,staged,794933,12,8,55.16770095808897,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构验证_v1/case_087/p3_n5/staged/summary.json,
case_066,3,5,component_wcc,success,component_wcc,219193,12,8,7.444334917003289,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构验证_v1/case_066/p3_n5/component_wcc/summary.json,
case_054,3,5,staged,success,staged,356338,12,8,39.42578200006392,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构验证_v1/case_054/p3_n5/staged/summary.json,
case_054,3,5,component_wcc,success,component_wcc,460459,12,6,24.46250699996017,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构验证_v1/case_054/p3_n5/component_wcc/summary.json,
case_078,2,5,routed,success,component_wcc,511983,12,5,0.823658165987581,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构验证_v1/case_078/p2_n5/routed/summary.json,
case_008,2,5,component_wcc,success,component_wcc,55855,12,5,0.8772185420384631,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构验证_v1/case_008/p2_n5/component_wcc/summary.json,
case_098,3,5,routed,success,staged,63220,12,8,1.7698779159691185,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构验证_v1/case_098/p3_n5/routed/summary.json,
case_066,2,5,routed,success,staged,145243,12,8,8.73376966593787,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构验证_v1/case_066/p2_n5/routed/summary.json,
case_087,2,5,staged,success,staged,801582,12,8,52.688367500086315,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23结构验证_v1/case_087/p2_n5/staged/summary.json,
