case,problem,cores,before,after,reduction_pct,added_copy_bytes,plan,official_record,official_result
case_001,1,1,233110,233110,0.0,0,方案/p1/n1/case_001_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/pilot_fullpool_v2/evaluations/attempts/20260924T093721-2d85bed1bdf84e0286759e4f8d844b9e/record.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/pilot_fullpool_v2/evaluations/attempts/20260924T093713-43f213aff3a240ca8161e4a30632a735/official_result.json.gz
case_001,1,2,116868,116868,0.0,1152,方案/p1/n2/case_001_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/evaluations/attempts/20260924T093705-af46c634f7074231b2370f1667ea1610/record.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/evaluations/attempts/20260924T093705-af46c634f7074231b2370f1667ea1610/official_result.json.gz
case_001,1,3,78545,78545,0.0,2304,方案/p1/n3/case_001_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123822-5684e4290df84b62a67450898935fdab/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123822-5684e4290df84b62a67450898935fdab/official_result.json.gz
case_001,1,4,58984,58984,0.0,3456,方案/p1/n4/case_001_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123825-818e145b1e414d74a341663b740b209c/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123825-818e145b1e414d74a341663b740b209c/official_result.json.gz
case_001,1,5,47502,47502,0.0,4608,方案/p1/n5/case_001_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/evaluations/attempts/20260924T093706-ac6eff2023754f3c90272f03edeb7053/record.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/evaluations/attempts/20260924T093706-ac6eff2023754f3c90272f03edeb7053/official_result.json.gz
case_001,2,1,233110,233110,0.0,0,方案/p2/n1/case_001_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/pilot_fullpool_v2/evaluations/attempts/20260924T093721-0908b2695b464ed7bc4c5a2c42e77977/record.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/pilot_fullpool_v2/evaluations/attempts/20260924T093716-a895e1d2eb77496b95b395bd6f83629e/official_result.json.gz
case_001,2,2,116868,116868,0.0,1152,方案/p2/n2/case_001_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/evaluations/attempts/20260924T093706-d3a8d4f5caec4fefbe0146247ad59388/record.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/evaluations/attempts/20260924T093706-d3a8d4f5caec4fefbe0146247ad59388/official_result.json.gz
case_001,2,3,78545,78545,0.0,2304,方案/p2/n3/case_001_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123820-110350d9248c41619beb04d45ce168d5/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123820-110350d9248c41619beb04d45ce168d5/official_result.json.gz
case_001,2,4,58984,58984,0.0,3456,方案/p2/n4/case_001_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123822-107b5dac7fcf4eb3bb8f32c608be69cf/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123822-107b5dac7fcf4eb3bb8f32c608be69cf/official_result.json.gz
case_001,2,5,47502,47502,0.0,4608,方案/p2/n5/case_001_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/evaluations/attempts/20260924T093707-3ef634ff57a84303a594c6cb507c06b0/record.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/evaluations/attempts/20260924T093707-3ef634ff57a84303a594c6cb507c06b0/official_result.json.gz
case_001,3,1,233110,233110,0.0,0,方案/p3/n1/case_001_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/pilot_fullpool_v2/evaluations/attempts/20260924T093721-d7c76f2837234df9a6f95c640ebbdbe7/record.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/pilot_fullpool_v2/evaluations/attempts/20260924T093718-521c2b9d04174e69ba7782a79b4b6b5b/official_result.json.gz
case_001,3,2,116868,116868,0.0,1152,方案/p3/n2/case_001_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/pilot_fullpool_v2/evaluations/attempts/20260924T093721-ca485998f1754f60ad25e34235a73680/record.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/pilot_fullpool_v2/evaluations/attempts/20260924T093719-16ea59f7b17545bc9503ca6ec4f9713c/official_result.json.gz
case_001,3,3,78545,78545,0.0,2304,方案/p3/n3/case_001_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124524-0f1e62a0d00540db970636452f86e2d9/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124524-0f1e62a0d00540db970636452f86e2d9/official_result.json.gz
case_001,3,4,58984,58984,0.0,3456,方案/p3/n4/case_001_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124528-a2f4b432d4554c4489405deda7db7801/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T124528-a2f4b432d4554c4489405deda7db7801/official_result.json.gz
case_001,3,5,47502,47502,0.0,4608,方案/p3/n5/case_001_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/pilot_fullpool_v2/evaluations/attempts/20260924T093721-5ea8f318035c46a0b1da06f8aeac982f/record.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/pilot_fullpool_v2/evaluations/attempts/20260924T093720-6880683812a6432aada980e963809b27/official_result.json.gz
case_002,1,2,252542,252542,0.0,4018176,方案/p1/n2/case_002_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123821-2f74840740464a9caad67df9cb869cb3/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123821-2f74840740464a9caad67df9cb869cb3/official_result.json.gz
case_002,1,3,171449,171449,0.0,451584,方案/p1/n3/case_002_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123829-9c98e6465ca1436eabfa3438dff60b18/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T123829-9c98e6465ca1436eabfa3438dff60b18/official_result.json.gz
