case,problem,cores,method,status,effective_method,makespan,logical_calls,new_calls,elapsed_seconds,stop_reason,failed_calls,timeout_calls,generation_errors,summary_path,error
case_023,2,5,component_wcc,success,component_wcc,19915,12,6,1.4021199999842793,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23定向WCC_v1/case_023/p2_n5/component_wcc/summary.json,
case_055,2,5,component_wcc,success,component_wcc,20296,12,6,1.658360083005391,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23定向WCC_v1/case_055/p2_n5/component_wcc/summary.json,
case_070,2,5,component_wcc,success,component_wcc,22710,12,6,1.4321928339777514,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23定向WCC_v1/case_070/p2_n5/component_wcc/summary.json,
case_012,3,5,component_wcc,success,component_wcc,12272,12,8,2.0695159169845283,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23定向WCC_v1/case_012/p3_n5/component_wcc/summary.json,
case_023,3,5,component_wcc,success,component_wcc,19711,12,8,1.844417667016387,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23定向WCC_v1/case_023/p3_n5/component_wcc/summary.json,
case_065,2,5,component_wcc,success,component_wcc,8714,12,6,1.1387202499900013,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23定向WCC_v1/case_065/p2_n5/component_wcc/summary.json,
case_065,3,5,component_wcc,success,component_wcc,8335,12,8,1.4384828750044107,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23定向WCC_v1/case_065/p3_n5/component_wcc/summary.json,
case_095,3,5,component_wcc,success,component_wcc,220188,12,8,5.542778874980286,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23定向WCC_v1/case_095/p3_n5/component_wcc/summary.json,
case_012,2,5,component_wcc,success,component_wcc,12279,12,6,1.7312743330840021,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23定向WCC_v1/case_012/p2_n5/component_wcc/summary.json,
case_055,3,5,component_wcc,success,component_wcc,20015,12,8,2.014461582992226,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23定向WCC_v1/case_055/p3_n5/component_wcc/summary.json,
case_070,3,5,component_wcc,success,component_wcc,21056,12,8,1.8378256249707192,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23定向WCC_v1/case_070/p3_n5/component_wcc/summary.json,
case_015,3,5,component_wcc,success,component_wcc,33340,12,8,1.9540538330329582,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23定向WCC_v1/case_015/p3_n5/component_wcc/summary.json,
case_095,2,5,component_wcc,success,component_wcc,220188,12,6,4.268531540990807,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23定向WCC_v1/case_095/p2_n5/component_wcc/summary.json,
case_015,2,5,component_wcc,success,component_wcc,33997,12,6,1.5948914589826018,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23定向WCC_v1/case_015/p2_n5/component_wcc/summary.json,
case_017,2,5,component_wcc,success,component_wcc,28330,12,6,1.55614045902621,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23定向WCC_v1/case_017/p2_n5/component_wcc/summary.json,
case_017,3,5,component_wcc,success,component_wcc,28049,12,8,1.9366256250068545,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23定向WCC_v1/case_017/p3_n5/component_wcc/summary.json,
