case,problem,method,call,family,parent_record,parent_span,best_before,alternative_parent,strictly_worse_parent,status,time_improved,span
case_046,2,budget_beam,7,structure,,,93013,False,False,success,False,124612
case_046,2,budget_beam,8,structure_pair,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p2_n5/budget_beam/evaluations/attempts/20260925T192550-0b1dc56324214753a593d5391bdcf1f1/record.json,124612,93013,True,True,success,True,77846
case_046,2,budget_beam,9,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p2_n5/budget_beam/evaluations/attempts/20260925T192550-ef60e251cd6b4dd18adab3a59916f3bc/record.json,77846,77846,False,False,success,False,79056
case_046,2,budget_beam,10,data,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p2_n5/budget_beam/evaluations/attempts/20260925T192550-ca6ad90b6b794feeac7165515d983f46/record.json,79056,77846,True,True,success,False,79056
case_046,2,budget_beam,11,structure,,,77846,False,False,success,False,142176
case_046,2,budget_beam,12,region,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p2_n5/budget_beam/evaluations/attempts/20260925T192550-7444d1395f5747e8843209be0e6b8ff1/record.json,79056,77846,True,True,success,False,94086
case_018,3,budget_beam,7,structure,,,196701,False,False,success,False,213224
case_018,3,budget_beam,8,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p3_n5/budget_beam/evaluations/attempts/20260925T192550-1f8acdade4034ac480c101eba16eda64/record.json,196701,196701,False,False,success,False,387406
case_018,3,budget_beam,9,data,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p3_n5/budget_beam/evaluations/attempts/20260925T192550-9c6be6ccbcc14a67b44ac7d1d3f31afd/record.json,200729,196701,True,True,success,False,200729
case_018,3,budget_beam,10,structure,,,196701,False,False,success,False,217834
case_018,3,budget_beam,11,region,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p3_n5/budget_beam/evaluations/attempts/20260925T192555-119f43da10f94696af2749fe00621ed2/record.json,200729,196701,True,True,success,False,200729
case_018,3,budget_beam,12,region,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_018/p3_n5/budget_beam/evaluations/attempts/20260925T192556-340228f8345b48caa0dbd7fea74dac93/record.json,200729,196701,True,True,success,False,200729
case_031,2,budget_beam,7,structure,,,273808,False,False,success,False,312382
case_031,2,budget_beam,8,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_031/p2_n5/budget_beam/evaluations/attempts/20260925T192559-6e8a952f866548ce81cf72d8c8812727/record.json,273808,273808,False,False,success,True,273263
case_031,2,budget_beam,9,data,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_031/p2_n5/budget_beam/evaluations/attempts/20260925T192605-3cec8651e7e8412ca9ebc87e4ced01e7/record.json,273263,273263,False,False,success,False,274543
case_031,2,budget_beam,10,structure,,,273263,False,False,success,False,306480
case_031,2,budget_beam,11,region,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_031/p2_n5/budget_beam/evaluations/attempts/20260925T192610-b69efa72d9cc4fa9ab4ef3074203dc8b/record.json,274543,273263,True,True,success,False,275499
case_031,2,budget_beam,12,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_031/p2_n5/budget_beam/evaluations/attempts/20260925T192605-3cec8651e7e8412ca9ebc87e4ced01e7/record.json,273263,273263,False,False,success,False,537923
case_046,3,budget_greedy,7,structure,,,92391,False,False,success,False,105932
case_046,3,budget_greedy,8,structure_pair,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p3_n5/budget_greedy/evaluations/attempts/20260925T192614-67da4c6ee2974ff3b6e1d065cc5b6e7a/record.json,105932,92391,True,True,success,True,77846
case_046,3,budget_greedy,9,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p3_n5/budget_greedy/evaluations/attempts/20260925T192615-14876ebef533417daaae915be70aa047/record.json,77846,77846,False,False,success,False,79056
case_046,3,budget_greedy,10,data,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p3_n5/budget_greedy/evaluations/attempts/20260925T192615-14876ebef533417daaae915be70aa047/record.json,77846,77846,False,False,success,False,77846
case_046,3,budget_greedy,11,structure,,,77846,False,False,success,False,121494
case_046,3,budget_greedy,12,region,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p3_n5/budget_greedy/evaluations/attempts/20260925T192615-14876ebef533417daaae915be70aa047/record.json,77846,77846,False,False,success,False,92391
case_046,3,wide_legacy,7,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p3_n5/wide_legacy/evaluations/attempts/20260925T192621-f78e529b8aa34f7a8888832df53a1a8c/record.json,92391,92391,False,False,success,False,93464
case_046,3,wide_legacy,8,legacy,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p3_n5/wide_legacy/evaluations/attempts/20260925T192621-f78e529b8aa34f7a8888832df53a1a8c/record.json,92391,92391,False,False,success,False,92391
case_046,3,wide_legacy,9,structure,,,92391,False,False,success,False,105932
case_046,3,wide_legacy,10,structure_pair,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23开发_v2/slots/case_046/p3_n5/wide_legacy/evaluations/attempts/20260925T192622-a8e770d47d6a4aa9b752ee83a8d597c1/record.json,105932,92391,True,True,success,True,77846
