case,problem,cores,method,status,effective_method,makespan,logical_calls,new_calls,elapsed_seconds,stop_reason,failed_calls,timeout_calls,generation_errors,summary_path,error
case_004,3,5,trace_routed,success,staged,82161,12,0,0.26457508304156363,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_004/p3_n5/trace_routed/summary.json,
case_094,3,5,trace_routed,success,component_wcc,16819,12,0,0.27221137494780123,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_094/p3_n5/trace_routed/summary.json,
case_046,2,5,staged,success,staged,93013,12,0,0.20438949996605515,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_046/p2_n5/staged/summary.json,
case_004,2,5,staged,success,staged,83567,12,0,0.23210212495177984,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_004/p2_n5/staged/summary.json,
case_046,2,5,trace_routed,success,component_wcc,77846,12,0,0.20618625008501112,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_046/p2_n5/trace_routed/summary.json,
case_095,2,5,routed,success,component_wcc,220188,12,0,0.6888528330018744,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_095/p2_n5/routed/summary.json,
case_095,2,5,staged,success,staged,220188,12,0,1.0151045829989016,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_095/p2_n5/staged/summary.json,
case_046,2,5,routed,success,component_wcc,77846,12,0,0.23644158302340657,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_046/p2_n5/routed/summary.json,
case_094,2,5,routed,success,component_wcc,17755,12,0,0.3008522921008989,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_094/p2_n5/routed/summary.json,
case_094,3,5,staged,success,staged,21130,12,0,0.27053141698706895,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_094/p3_n5/staged/summary.json,
case_009,3,5,staged,success,staged,72876,12,0,1.3735021250322461,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_009/p3_n5/staged/summary.json,
case_078,3,5,routed,success,component_wcc,511983,12,0,0.1739662499167025,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_078/p3_n5/routed/summary.json,
case_009,2,5,trace_routed,success,staged,52200,12,0,1.236680250032805,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_009/p2_n5/trace_routed/summary.json,
case_095,3,5,staged,success,staged,220314,12,0,1.2863116660155356,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_095/p3_n5/staged/summary.json,
case_095,2,5,trace_routed,success,staged,220188,12,0,1.1851307500619441,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_095/p2_n5/trace_routed/summary.json,
case_004,2,5,trace_routed,success,staged,83567,12,0,0.278820583014749,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_004/p2_n5/trace_routed/summary.json,
case_004,3,5,staged,success,staged,82161,12,0,0.32733820809517056,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_004/p3_n5/staged/summary.json,
case_095,3,5,trace_routed,success,staged,220188,12,0,1.335869833943434,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_095/p3_n5/trace_routed/summary.json,
case_009,3,5,routed,success,staged,72876,12,0,1.4477473750011995,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_009/p3_n5/routed/summary.json,
case_094,2,5,staged,success,staged,21758,12,0,0.2687730829929933,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_094/p2_n5/staged/summary.json,
case_078,3,5,trace_routed,success,staged,468009,12,0,0.3068509999429807,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_078/p3_n5/trace_routed/summary.json,
case_070,3,5,staged,success,staged,21943,12,0,0.4630795839475468,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_070/p3_n5/staged/summary.json,
case_070,3,5,routed,success,component_wcc,21056,12,0,0.3379299169173464,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_070/p3_n5/routed/summary.json,
case_078,3,5,staged,success,staged,468009,12,0,0.301048916997388,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_078/p3_n5/staged/summary.json,
case_009,2,5,staged,success,staged,52200,12,0,1.3180817080428824,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_009/p2_n5/staged/summary.json,
case_079,2,5,routed,success,component_wcc,6023990,12,0,7.924426999990828,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_079/p2_n5/routed/summary.json,
case_079,3,5,trace_routed,success,staged,6023112,12,0,7.39622950006742,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_079/p3_n5/trace_routed/summary.json,
case_094,2,5,trace_routed,success,component_wcc,17755,12,0,0.33699295890983194,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_094/p2_n5/trace_routed/summary.json,
case_094,3,5,routed,success,component_wcc,16819,12,0,0.35529995802789927,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_094/p3_n5/routed/summary.json,
case_004,3,5,routed,success,component_wcc,83319,12,0,0.23477008403278887,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_004/p3_n5/routed/summary.json,
case_078,2,5,routed,success,component_wcc,511983,12,0,0.1867065830156207,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_078/p2_n5/routed/summary.json,
case_070,2,5,trace_routed,success,component_wcc,22710,12,0,0.35409795900341123,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹开发_v2/case_070/p2_n5/trace_routed/summary.json,
