case,problem,cores,group,first_variant,first_call,candidate,makespan,added_bytes,scheduled_bytes,original_bytes,partition_added_bytes,spill_bytes,hit_rate,hit_bytes,active_cores,miss_bytes,eligible_bytes,effective_ddr_byte_proxy,cache_key,plan_path,result_path
case_002,1,5,validation,joint,12,observed_duration,65443,2193408,3417600,1224192,2193408,0,,0,5,,,3417600,823ff3851bfaca53fac4e20fcd3777e3a092a48d0bbfb519856a2784570ec154,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_002/p1_n5/joint/prefix/evaluations/attempts/20260926T001420-0f5c768fbf5f41229c0270496f0be093/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_002/p1_n5/joint/prefix/evaluations/attempts/20260926T001420-0f5c768fbf5f41229c0270496f0be093/official_result.json.gz
case_002,1,5,validation,joint,14,r0_branch_s1_w1,68771,2155008,3379200,1224192,2155008,0,,0,5,,,3379200,452cd754d2ec6c2729d59b7806512cdd1a826b8d48a0a176b87fbdc1387f6d98,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_002/p1_n5/joint/evaluations/attempts/20260926T001422-07b2635a684c4d92a53485b3b838ea36/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_002/p1_n5/joint/evaluations/attempts/20260926T001422-07b2635a684c4d92a53485b3b838ea36/official_result.json.gz
case_002,1,5,validation,joint,16,v2_p1_branch_strict_s2_merge,84467,1210368,2434560,1224192,1210368,0,,0,5,,,2434560,fdea84217bfcadf831fa0172988e56a9078cbb0c29a2f8e6b3c9859f39a727e5,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_002/p1_n5/joint/evaluations/attempts/20260926T001425-ea93831cdb444a399400712636dbd769/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_002/p1_n5/joint/evaluations/attempts/20260926T001425-ea93831cdb444a399400712636dbd769/official_result.json.gz
case_002,1,5,validation,joint,3,selective_local_quantile_stable_id_x2_a5_eft,154153,665088,1889280,1224192,665088,0,,0,2,,,1889280,20bec8d626d41cd67aba5994e4d08eb290d195c6db61d3e8d113f13ec59720da,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_002/p1_n5/joint/prefix/evaluations/attempts/20260926T001410-d90e2f8b79564a7d81cc72000daacc7c/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_002/p1_n5/joint/prefix/evaluations/attempts/20260926T001410-d90e2f8b79564a7d81cc72000daacc7c/official_result.json.gz
case_002,1,5,validation,joint,1,wcc_start0_simple_a1_per_core_lpt_mv,261945,0,1224192,1224192,0,0,,0,1,,,1224192,a808d479f06d5e36690cb7d11ee8b67251aef7a53e6d3346fe0a743980d52f9a,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_002/p1_n5/joint/prefix/evaluations/attempts/20260926T001408-815239ea16074fcda3ffccfe241deaa4/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_002/p1_n5/joint/prefix/evaluations/attempts/20260926T001408-815239ea16074fcda3ffccfe241deaa4/official_result.json.gz
case_002,2,5,validation,joint,15,lifetime_w8_b0.5,51904,663552,1887744,1224192,663552,0,,0,5,,,1887744,7a6b178c106a3ae8e0f8beeccc743eaf2468ce05a5251c0064d85789d47b2a81,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_002/p2_n5/joint/evaluations/attempts/20260926T001931-b5364c6bd8144ceeaf9d83e5b4fe3d6a/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_002/p2_n5/joint/evaluations/attempts/20260926T001931-b5364c6bd8144ceeaf9d83e5b4fe3d6a/official_result.json.gz
case_002,2,5,validation,joint,16,trace_r00_00_producer_single,51956,660480,1884672,1224192,660480,0,,0,5,,,1884672,816c589570f32067dbb3fa758e912e3642589cb4b32bde3ad73109c9e0869177,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_002/p2_n5/joint/evaluations/attempts/20260926T001932-d9714b6738f647d88dd5f0d4e63c5d88/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_002/p2_n5/joint/evaluations/attempts/20260926T001932-d9714b6738f647d88dd5f0d4e63c5d88/official_result.json.gz
case_002,2,5,validation,joint,13,v2_p2_branch_s2_residency,58804,611328,1835520,1224192,611328,0,,0,5,,,1835520,c166e0e4619da2436bd8f58d3d4a316cccfd03e10b415ea374d73fdcd886c263,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_002/p2_n5/joint/evaluations/attempts/20260926T001927-c3976a46475a434fbb478e181fb1e011/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_002/p2_n5/joint/evaluations/attempts/20260926T001927-c3976a46475a434fbb478e181fb1e011/official_result.json.gz
case_002,2,5,validation,joint,1,wcc_start0_simple_a1_per_core_lpt_mv,261945,0,1224192,1224192,0,0,,0,1,,,1224192,950a0e360e8c313519b4b4a6cae3c7853f8ee93adb3b3cb12be6a6169b7baadd,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_002/p2_n5/joint/prefix/evaluations/attempts/20260926T001921-e028ccd2f5b942ab98c8d69b476d8bdb/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_002/p2_n5/joint/prefix/evaluations/attempts/20260926T001921-e028ccd2f5b942ab98c8d69b476d8bdb/official_result.json.gz
case_002,3,5,validation,joint,16,trace_r00_00_producer_single,59282,642048,1866240,1224192,642048,0,0.0,0,5,1543680,1543680,1866240,da840495a5cbd8cb437c8a58b6989fa9093f98ed00b390b4e747e6d63cf581f9,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_002/p3_n5/joint/evaluations/attempts/20260926T003023-a83597d9388745ba9c8a1093731bad37/plan.json,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/联合整合_20260926/同预算对照/slots/validation/case_002/p3_n5/joint/evaluations/attempts/20260926T003023-a83597d9388745ba9c8a1093731bad37/official_result.json.gz
