case,problem,cores,method,status,effective_method,makespan,logical_calls,new_calls,elapsed_seconds,stop_reason,failed_calls,timeout_calls,generation_errors,summary_path,error
case_096,2,5,routed,success,staged,27053,12,0,0.3400270000565797,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹验证_v2/case_096/p2_n5/routed/summary.json,
case_035,3,5,trace_routed,success,staged,83046,12,0,0.9054243749706075,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹验证_v2/case_035/p3_n5/trace_routed/summary.json,
case_025,3,5,trace_routed,success,staged,942350,12,0,6.976046166964807,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹验证_v2/case_025/p3_n5/trace_routed/summary.json,
case_003,2,5,trace_routed,success,staged,269541,12,0,3.2147067920304835,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹验证_v2/case_003/p2_n5/trace_routed/summary.json,
case_074,3,5,routed,success,component_wcc,328133,12,0,1.7472606250084937,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹验证_v2/case_074/p3_n5/routed/summary.json,
case_083,3,5,staged,success,staged,185285,12,6,3.824298958061263,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹验证_v2/case_083/p3_n5/staged/summary.json,
case_074,3,5,staged,success,staged,337615,12,6,4.95161350001581,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹验证_v2/case_074/p3_n5/staged/summary.json,
case_091,3,5,routed,success,component_wcc,1820358,12,1,22.872805499937385,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹验证_v2/case_091/p3_n5/routed/summary.json,
case_088,2,5,trace_routed,success,staged,93536,12,8,4.682145333033986,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹验证_v2/case_088/p2_n5/trace_routed/summary.json,
case_016,2,5,staged,success,staged,2243300,12,9,29.452663999982178,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹验证_v2/case_016/p2_n5/staged/summary.json,
case_096,3,5,trace_routed,success,staged,24763,12,8,1.7392322500236332,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹验证_v2/case_096/p3_n5/trace_routed/summary.json,
case_083,2,5,trace_routed,success,component_wcc,184594,12,6,2.8207527499180287,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹验证_v2/case_083/p2_n5/trace_routed/summary.json,
case_090,2,5,staged,success,staged,296021,12,2,0.8107589579885826,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹验证_v2/case_090/p2_n5/staged/summary.json,
case_075,3,5,staged,success,staged,409283,12,9,14.948639667010866,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹验证_v2/case_075/p3_n5/staged/summary.json,
case_091,2,5,routed,success,component_wcc,1860293,12,6,62.20442191592883,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹验证_v2/case_091/p2_n5/routed/summary.json,
case_074,3,5,trace_routed,success,staged,326680,12,5,3.7256769170053303,call_budget,0,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P23轨迹验证_v2/case_074/p3_n5/trace_routed/summary.json,
