case,problem,cores,before,after,before_copy_bytes,after_copy_bytes,reduction_pct,original_singlecore,plan,official_record,official_result
case_002,1,2,252542,136619,4018176,56832,45.90246374860419,261945,方案/p1/n2/case_002_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T234214-d276fb7c5e4a4c4294ba7932c8d660d9/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T234214-d276fb7c5e4a4c4294ba7932c8d660d9/official_result.json.gz
case_002,1,3,171449,124980,451584,565248,27.10368681065506,261945,方案/p1/n3/case_002_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T234416-163950c089bd435b97cce858c277ad2c/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T234213-96dfd015b80449ddbf8e022587cd1b23/official_result.json.gz
case_002,1,4,171449,103993,451584,1602048,39.344644763165725,261945,方案/p1/n4/case_002_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T234216-ff98a78fb7534f8bb68c0e4e0f09e288/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T234216-ff98a78fb7534f8bb68c0e4e0f09e288/official_result.json.gz
case_002,1,5,114925,103993,2179584,1602048,9.512290624320208,261945,方案/p1/n5/case_002_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T235538-47ace5e055a44da5ae8b0cad9930c42d/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T235538-47ace5e055a44da5ae8b0cad9930c42d/official_result.json.gz
case_002,2,2,126927,125561,4131840,3975168,1.0762091595956758,261945,方案/p2/n2/case_002_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T233842-816453b498644d07a70248ef440cb15c/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T233842-816453b498644d07a70248ef440cb15c/official_result.json.gz
case_002,2,3,82020,82013,635904,632832,0.008534503779566993,261945,方案/p2/n3/case_002_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T234837-26955026c63c459c8b06b877bfec61cc/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T234837-26955026c63c459c8b06b877bfec61cc/official_result.json.gz
case_002,2,4,63330,63304,599040,595968,0.04105479235749776,261945,方案/p2/n4/case_002_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T234838-54b1a69fcc954d4c933f03abd4c396ea/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T234838-54b1a69fcc954d4c933f03abd4c396ea/official_result.json.gz
case_002,3,3,82020,82013,635904,632832,0.008534503779566993,261945,方案/p3/n3/case_002_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T235419-c71fce48a1df44afbc2ac359833aa977/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T235419-c71fce48a1df44afbc2ac359833aa977/official_result.json.gz
case_002,3,4,63330,63304,599040,595968,0.04105479235749776,261945,方案/p3/n4/case_002_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T235419-39097fec8b4a4c3991a484756fc8755e/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T235419-39097fec8b4a4c3991a484756fc8755e/official_result.json.gz
case_003,2,2,337267,321883,6032838,6032838,4.5613712577868615,602212,方案/p2/n2/case_003_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T235306-f25f56025df24171b078af28a1e96ccb/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260924T235306-f25f56025df24171b078af28a1e96ccb/official_result.json.gz
