case,problem,cores,before,after,before_copy_bytes,after_copy_bytes,reduction_pct,original_singlecore,plan,official_record,official_result
case_007,2,5,203834,196870,110592,110592,3.4165055878803363,1012562,方案/p2/n5/case_007_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T155738-87f32f2ba34341ee8a68fa26181662c1/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T155738-87f32f2ba34341ee8a68fa26181662c1/official_result.json.gz
case_007,3,5,203834,196870,110592,110592,3.4165055878803363,1012562,方案/p3/n5/case_007_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T155753-e2388210b4884aa98c87038ce1471723/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T155753-e2388210b4884aa98c87038ce1471723/official_result.json.gz
case_012,2,5,12452,12279,0,49536,1.3893350465788656,59088,方案/p2/n5/case_012_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T155407-6a09fb77b47e46e58b7611f663e0d5d7/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T155407-6a09fb77b47e46e58b7611f663e0d5d7/official_result.json.gz
case_012,3,5,12452,12272,0,49536,1.445550915515581,59088,方案/p3/n5/case_012_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T155401-ed6393b7e8d147f78c5ac8d64ed340b5/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T155401-ed6393b7e8d147f78c5ac8d64ed340b5/official_result.json.gz
case_015,2,5,42588,33997,313344,313344,20.172349018502867,177362,方案/p2/n5/case_015_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T155412-31053b939cd24e609ccaccb91f0e5994/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T155412-31053b939cd24e609ccaccb91f0e5994/official_result.json.gz
case_015,3,5,42588,33340,313344,313344,21.715037099652477,177362,方案/p3/n5/case_015_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T155410-d7af1d5450534233928e34f70c8fcfbc/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T155410-d7af1d5450534233928e34f70c8fcfbc/official_result.json.gz
case_017,2,5,32681,28330,340992,340992,13.313546097120653,162810,方案/p2/n5/case_017_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T155413-32c031bc1af74f918be3ac2a7d846784/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T155413-32c031bc1af74f918be3ac2a7d846784/official_result.json.gz
case_017,3,5,32681,28049,340992,340992,14.17337290780576,162810,方案/p3/n5/case_017_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T155414-95aeb2d42a2a4c15aa68ecc91bdb0235/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T155414-95aeb2d42a2a4c15aa68ecc91bdb0235/official_result.json.gz
case_023,2,5,20245,19915,270912,280992,1.6300321066930135,122614,方案/p2/n5/case_023_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T155358-b85e5750555849deac67f3656a58747b/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T155358-b85e5750555849deac67f3656a58747b/official_result.json.gz
case_023,3,5,20159,19711,270912,280992,2.2223324569671132,122614,方案/p3/n5/case_023_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T155401-c6a3ef20893145d8a006739a38f6c884/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T155401-c6a3ef20893145d8a006739a38f6c884/official_result.json.gz
case_034,2,5,163827,159524,2803712,3463168,2.6265511789875906,842996,方案/p2/n5/case_034_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T155805-30133dc423884e32bc3e0e6e0ba42b6a/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T155805-30133dc423884e32bc3e0e6e0ba42b6a/official_result.json.gz
case_034,3,5,163174,159257,2803712,3463168,2.400504982411411,842996,方案/p3/n5/case_034_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T155808-968f4b4bdf7e47cc87d1bd137944679b/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T155808-968f4b4bdf7e47cc87d1bd137944679b/official_result.json.gz
