case,problem,cores,method,status,makespan,logical_calls,new_calls,elapsed_seconds,stop_reason,failed_calls,generation_errors,summary_path
case_094,2,5,local_legacy,success,17465,12,12,1.4947741669602692,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23验证_v2/slots/case_094/p2_n5/local_legacy/summary.json
case_021,2,5,baseline,success,1250168,12,12,8.77510437509045,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23验证_v2/slots/case_021/p2_n5/baseline/summary.json
case_094,3,5,baseline,success,16819,12,12,1.607391249970533,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23验证_v2/slots/case_094/p3_n5/baseline/summary.json
case_021,3,5,local_legacy,success,1249311,12,12,10.765650833025575,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23验证_v2/slots/case_021/p3_n5/local_legacy/summary.json
case_074,3,5,budget_greedy,success,326680,12,12,12.253809125046246,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23验证_v2/slots/case_074/p3_n5/budget_greedy/summary.json
case_040,3,5,local_legacy,success,93494,12,12,6.985520332935266,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23验证_v2/slots/case_040/p3_n5/local_legacy/summary.json
case_058,2,5,wide_legacy,success,911208,12,12,49.28154283296317,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23验证_v2/slots/case_058/p2_n5/wide_legacy/summary.json
case_009,2,5,wide_legacy,success,77091,12,12,11.869171374943107,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23验证_v2/slots/case_009/p2_n5/wide_legacy/summary.json
case_094,2,5,budget_beam,success,17465,12,12,1.9112903330242261,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23验证_v2/slots/case_094/p2_n5/budget_beam/summary.json
case_021,3,5,wide_legacy,success,1249311,12,12,11.170989000005648,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23验证_v2/slots/case_021/p3_n5/wide_legacy/summary.json
case_074,2,5,budget_greedy,success,329505,12,12,11.975720957969315,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23验证_v2/slots/case_074/p2_n5/budget_greedy/summary.json
case_029,2,5,baseline,success,9383,12,12,1.9701135830255225,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十三轮P23验证_v2/slots/case_029/p2_n5/baseline/summary.json
