case,problem,cores,makespan,added_copy,original_singlecore,speedup,source,source_plan,plan,verification,paper_plan_sha256
case_001,1,1,233110,0,233110,1.0,team13,A题研究/直接迭代/第十三轮成果/方案/p1/n1/case_001_multicore_res.json,plans/p1/n1/case_001_multicore_res.json,inherited_team13_success,cb4356c1505a85f24254ec87d1c1816e4127d1e6041941cc4b6a82ffed639374
case_001,1,2,116868,1152,233110,1.9946435294520313,team13,A题研究/直接迭代/第十三轮成果/方案/p1/n2/case_001_multicore_res.json,plans/p1/n2/case_001_multicore_res.json,inherited_team13_success,8e174057139168e05f598e58b6d05b0281a3b4caaf66427d0f0cdf262a6de59f
case_001,1,3,78545,2304,233110,2.9678528232223567,team13,A题研究/直接迭代/第十三轮成果/方案/p1/n3/case_001_multicore_res.json,plans/p1/n3/case_001_multicore_res.json,inherited_team13_success,e2c017a4711937d14d8eb5b239f1730e5831e879be6a57427197752a2c9307d9
case_001,1,4,58984,3456,233110,3.952088702020887,team13,A题研究/直接迭代/第十三轮成果/方案/p1/n4/case_001_multicore_res.json,plans/p1/n4/case_001_multicore_res.json,inherited_team13_success,af47ba78b2c159afa7570499c043c255ca532a775f32ee7382e5ff9dcf4f3af9
case_001,1,5,47502,4608,233110,4.9073723211654245,team13,A题研究/直接迭代/第十三轮成果/方案/p1/n5/case_001_multicore_res.json,plans/p1/n5/case_001_multicore_res.json,inherited_team13_success,e2bb8a428a6d75bced60f9af54b15e0020d136d82262d4a48d58eb47dc0471a1
case_001,2,1,233110,0,233110,1.0,team13,A题研究/直接迭代/第十三轮成果/方案/p2/n1/case_001_multicore_res.json,plans/p2/n1/case_001_multicore_res.json,inherited_team13_success,cb4356c1505a85f24254ec87d1c1816e4127d1e6041941cc4b6a82ffed639374
case_001,2,2,116868,1152,233110,1.9946435294520313,team13,A题研究/直接迭代/第十三轮成果/方案/p2/n2/case_001_multicore_res.json,plans/p2/n2/case_001_multicore_res.json,inherited_team13_success,8e174057139168e05f598e58b6d05b0281a3b4caaf66427d0f0cdf262a6de59f
case_001,2,3,78545,2304,233110,2.9678528232223567,team13,A题研究/直接迭代/第十三轮成果/方案/p2/n3/case_001_multicore_res.json,plans/p2/n3/case_001_multicore_res.json,inherited_team13_success,e2c017a4711937d14d8eb5b239f1730e5831e879be6a57427197752a2c9307d9
case_001,2,4,58984,3456,233110,3.952088702020887,team13,A题研究/直接迭代/第十三轮成果/方案/p2/n4/case_001_multicore_res.json,plans/p2/n4/case_001_multicore_res.json,inherited_team13_success,af47ba78b2c159afa7570499c043c255ca532a775f32ee7382e5ff9dcf4f3af9
case_001,2,5,47502,4608,233110,4.9073723211654245,team13,A题研究/直接迭代/第十三轮成果/方案/p2/n5/case_001_multicore_res.json,plans/p2/n5/case_001_multicore_res.json,inherited_team13_success,e2bb8a428a6d75bced60f9af54b15e0020d136d82262d4a48d58eb47dc0471a1
case_001,3,1,233110,0,233110,1.0,team13,A题研究/直接迭代/第十三轮成果/方案/p3/n1/case_001_multicore_res.json,plans/p3/n1/case_001_multicore_res.json,inherited_team13_success,cb4356c1505a85f24254ec87d1c1816e4127d1e6041941cc4b6a82ffed639374
case_001,3,2,116868,1152,233110,1.9946435294520313,team13,A题研究/直接迭代/第十三轮成果/方案/p3/n2/case_001_multicore_res.json,plans/p3/n2/case_001_multicore_res.json,inherited_team13_success,8e174057139168e05f598e58b6d05b0281a3b4caaf66427d0f0cdf262a6de59f
case_001,3,3,78545,2304,233110,2.9678528232223567,team13,A题研究/直接迭代/第十三轮成果/方案/p3/n3/case_001_multicore_res.json,plans/p3/n3/case_001_multicore_res.json,inherited_team13_success,94a3a4cdd9f7a77074035cd454c8eaba36e648ee3d26cea328713cd84133ee7d
case_001,3,4,58984,3456,233110,3.952088702020887,team13,A题研究/直接迭代/第十三轮成果/方案/p3/n4/case_001_multicore_res.json,plans/p3/n4/case_001_multicore_res.json,inherited_team13_success,af47ba78b2c159afa7570499c043c255ca532a775f32ee7382e5ff9dcf4f3af9
case_001,3,5,47502,4608,233110,4.9073723211654245,team13,A题研究/直接迭代/第十三轮成果/方案/p3/n5/case_001_multicore_res.json,plans/p3/n5/case_001_multicore_res.json,inherited_team13_success,e2bb8a428a6d75bced60f9af54b15e0020d136d82262d4a48d58eb47dc0471a1
case_002,1,1,261945,0,261945,1.0,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/远端P1恢复437_v1/plans/p1/n1/case_002.json,plans/p1/n1/case_002_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,3ebc3856cb638d2a0d94ea3d575bfaabda63fcc8b9c423eada130c8ce3983bb8
case_002,1,2,132881,56832,261945,1.9712750506091916,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/远端P1恢复437_v1/plans/p1/n2/case_002.json,plans/p1/n2/case_002_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,08c7d1ced6f8ae0e82d36c165117834b9edb150c5c6dbe9db772aa318eeee71c
case_002,1,3,116122,1701888,261945,2.2557740996538125,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/远端P1恢复437_v1/plans/p1/n3/case_002.json,plans/p1/n3/case_002_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,542825da416dbdfb0bcc2597e4ed0e921ae6f3a700349867ce2ab6840e73dc27
case_002,1,4,83979,1692672,261945,3.1191726503054333,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/远端P1恢复437_v1/plans/p1/n4/case_002.json,plans/p1/n4/case_002_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,2bda99f428077fae6c578987efa35d86a2a0bada4e0a81c9d67e718380b5f7e3
case_002,1,5,64296,2165760,261945,4.074048152295632,ours,A题研究/直接迭代/闭环验证_20260925/精选方案/case_002_p1_n5.json,plans/p1/n5/case_002_multicore_res.json,fresh_import_replay,4c2153d4d6a4461ee76025b18ea58d2864dfb7ef3d77f36fb5bb4ff7786597e3
case_002,2,1,255849,3316224,261945,1.023826553943928,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/硬件启发从头P23全1000_v1/slots/case_002/p2_n1/mature_prefix/evaluations/attempts/20260926T044806-83eaa7b774ff485a966d3897341e4170/plan.json,plans/p2/n1/case_002_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,cde1d842bb9f1632623edb2c32f75ea2af5a2a7d0474dba7f34556ed73914780
case_002,2,2,125561,3975168,261945,2.086197147203351,team13,A题研究/直接迭代/第十三轮成果/方案/p2/n2/case_002_multicore_res.json,plans/p2/n2/case_002_multicore_res.json,inherited_team13_success,d73796e5663709e99fa80050aea029140056c09d6ad706d441bbdb0bdc35c903
case_002,2,3,81890,669696,261945,3.198742215166687,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/硬件启发从头P23全1000_v1/slots/case_002/p2_n3/mature_prefix/evaluations/attempts/20260926T054921-dbb14bbbb0ee4a21a44ab36a0e07a75d/plan.json,plans/p2/n3/case_002_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,47414fb34c4d55f0cd0afe7da2ef493c4b7d54928963c5deee6ad06ee297b25e
case_002,2,4,62314,595968,261945,4.2036300028885965,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/硬件启发从头P23全1000_v1/slots/case_002/p2_n4/mature_prefix/evaluations/attempts/20260926T062052-e00e3443b66e4e45a347f5f35b38bd3d/plan.json,plans/p2/n4/case_002_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,e31a8aa945e79a5340a1746bef43be8f2684d552e7bd16ff6d491db4ad871c82
case_002,2,5,51207,642048,261945,5.115413908254731,team13,A题研究/直接迭代/第十三轮成果/方案/p2/n5/case_002_multicore_res.json,plans/p2/n5/case_002_multicore_res.json,inherited_team13_success,113cd97f3714bc73a5773b4fb270f6d372bc51b807d138bc72123f03353dfa28
case_002,3,1,251773,2732544,261945,1.04040147275522,hardware_frontier,/home/konglingrui/.mathmodel/questionA/真机启发算法攻坚/A题研究/直接迭代/运行结果/硬件启发从头P23全1000_v1/slots/case_002/p3_n1/mature_prefix/evaluations/attempts/20260926T051017-35b623b951ca444d80a880234b7f1040/plan.json,plans/p3/n1/case_002_multicore_res.json,independent_official_time_copy_cache_and_input_hash_match,3281d49e99ef0a16be6a2c44310e8a5de04f70bb13f4ee89171b9c96a2ee558e
case_002,3,2,125561,3975168,261945,2.086197147203351,team13,A题研究/直接迭代/第十三轮成果/方案/p3/n2/case_002_multicore_res.json,plans/p3/n2/case_002_multicore_res.json,inherited_team13_success,d73796e5663709e99fa80050aea029140056c09d6ad706d441bbdb0bdc35c903
case_002,3,3,82013,632832,261945,3.1939448623998636,team13,A题研究/直接迭代/第十三轮成果/方案/p3/n3/case_002_multicore_res.json,plans/p3/n3/case_002_multicore_res.json,inherited_team13_success,2cdc93932590a3f4d8784340558797d78cf648cf89c7fa12d030b20f315ba247
