case,problem,cores,kind,status,makespan,seconds,plan_sha256,record_sha256,record_path
case_003,1,5,search,success,419601,5.700261615013005,8e51bf1dc0da9833ec11599dee110e0da2a85ea854fa8db31bbba6e3c2bdd627,ea8572f254500b90c79354a1354e734843b16e106e115c70d85a79ee1878d9be,/home/konglingrui/.mathmodel/questionA/统一V2宽筛冻结区/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v2/slots/case_003/p1_n5/v2/evaluations/attempts/20260925T222201-b716c1f695a0423fb69835176ec0c7bb/record.json
case_003,1,5,search,success,508665,4.992117649991997,6114255df3ce657a06d43be0d1f6f1116f582675022ea62b43923642f6786ffe,adec65021ae44ed326e9e34d7774db7fbca23879553b2f53b927a3ab8424bdba,/home/konglingrui/.mathmodel/questionA/统一V2宽筛冻结区/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v2/slots/case_003/p1_n5/v2/evaluations/attempts/20260925T222208-5f4877ede04244a0a8bc6c43ea970113/record.json
case_003,1,5,search,success,538764,34.68024830397917,fec0dcbb0b6b40cb89a482356b63750121aeb41a97f59b261e8934141b41f6b4,1bf24e857cb39ea007fd951cd123a67738a30c342d414ea37ba6fe2f89445557,/home/konglingrui/.mathmodel/questionA/统一V2宽筛冻结区/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v2/slots/case_003/p1_n5/v2/evaluations/attempts/20260925T222215-f97c713c894944e1893a0cf01dbd3a1d/record.json
case_003,1,5,search,success,347627,16.668334086978575,f3c414ebf1f307d485eac3cd053cd36c8eadeb9e0ed8b7caf7d60401f14467bc,4308c51da38f4fc540ec81c216bb0337364411b3192799d0d9a906d2a8ee521a,/home/konglingrui/.mathmodel/questionA/统一V2宽筛冻结区/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v2/slots/case_003/p1_n5/v2/evaluations/attempts/20260925T222250-5a836748e12b4c10b966b72cce11d4bf/record.json
case_003,2,5,search,success,253197,7.7508582639857195,f979f0b6d3fac6b51e58cef738a50d895da0bd8519e4adf5362d62065bc41078,4f5fd5ac94f800f34654953d823784b66663b32ddd4578e87e5a647dbb915ebd,/home/konglingrui/.mathmodel/questionA/统一V2宽筛冻结区/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v2/slots/case_003/p2_n5/v2/evaluations/attempts/20260925T222318-108cb25162604d6baf0d14985883e5dd/record.json
case_003,2,5,search,success,367037,3.688831717998255,0adc6c44bbdf3726e8894b73f6e618061354536875f086b4f913697a1c7ae06f,2d3116b7968a5f36a5820426e4e261ab69c2f2262c82a89f466df8ffc2f4092e,/home/konglingrui/.mathmodel/questionA/统一V2宽筛冻结区/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v2/slots/case_003/p2_n5/v2/evaluations/attempts/20260925T222327-742a4a61cbe840efaefd5cc3e337dc9f/record.json
case_003,2,5,search,success,213029,4.686791229003575,44d5d21df407921acfe17e061c06543033faada814b8aea578407119e849a8fc,be95389b0b07bab624d7e5fdc7dea30995b8403715d2548791b43101ca37a25f,/home/konglingrui/.mathmodel/questionA/统一V2宽筛冻结区/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v2/slots/case_003/p2_n5/v2/evaluations/attempts/20260925T222330-947017e600274e97ba27953730cb8e80/record.json
case_003,2,5,search,success,463956,3.936380696017295,1ce36cdcbf68da08f43e7b9cb1b46204ec552a29df6d3f5c5f854dd55d97504f,19739553ca5c96a21795a5d9215df5d5956fdd0930b84555fe61976983f6c9ae,/home/konglingrui/.mathmodel/questionA/统一V2宽筛冻结区/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v2/slots/case_003/p2_n5/v2/evaluations/attempts/20260925T222337-33a75d89cdec4c7885a97a0ef46ae754/record.json
case_003,2,5,search,success,455820,4.7944995680009015,44c902d7a8d1e3bba9daa62a27f0affaa2ff68692387c28a506517c5e531737c,53a5586a6260190e767ddf932de2b8b43eb10bdc1318a3956e13d58ae36b8225,/home/konglingrui/.mathmodel/questionA/统一V2宽筛冻结区/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v2/slots/case_003/p2_n5/v2/evaluations/attempts/20260925T222342-3b364267229a4aa981f4cc5bcdba53e5/record.json
case_003,2,5,search,success,421009,4.38836439998704,2651c050f53989d2f2eab0870f52a7797930fc0c7c00236db29b8d96806dba63,5dbec06809ffce0814c89cd915af8db04b7bd8d9e49634613023bcc51104a7eb,/home/konglingrui/.mathmodel/questionA/统一V2宽筛冻结区/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v2/slots/case_003/p2_n5/v2/evaluations/attempts/20260925T222347-d210c7408e5847bba05bf6d87c8a6ae5/record.json
