case,singlecore,control,best_new,selected,candidate_count,control_source,singlecore_source,selected_name,selected_plan_sha256,bare_time_over_control,retained_time_over_control,official_control_speedup,official_bare_speedup,official_retained_speedup
case_001,233110,47502,47502,47502,5,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_001/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_001/singlecore.json,saved_wcc_control,811c489eb7d6113f0afaa4b601c2327b28ff85d87c97f113bb17239be950b2e6,1.0,1.0,4.9073723211654245,4.9073723211654245,4.9073723211654245
case_002,261945,261945,59289,59289,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_002/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_002/singlecore.json,op_stable_id_w200,42885e152e7339b219b2be72d7ff14c966e84d2faf783a5a1b281f46f1e8c562,0.2263414075473859,0.2263414075473859,1.0,4.418104538784598,4.418104538784598
case_003,602212,538381,213029,213029,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_003/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_003/singlecore.json,op_stable_id_w200,44d5d21df407921acfe17e061c06543033faada814b8aea578407119e849a8fc,0.3956844688055485,0.3956844688055485,1.1185610190552786,2.826901501673481,2.826901501673481
case_004,392357,88341,83270,83270,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_004/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_004/singlecore.json,op_release_priority_w200,ff9db932c352fcb757fe69f517008055228668b5ff94127e5770efa2d87240b2,0.942597434939609,0.942597434939609,4.441391879195391,4.711865017413234,4.711865017413234
case_005,95618,95618,41728,41728,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_005/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_005/singlecore.json,op_stable_id_w200,7ed4e53f31452c05c14ce28c3ad07ded7a50c6a601d6bc52b37ba4d231ed5e75,0.43640318768432723,0.43640318768432723,1.0,2.291458972392638,2.291458972392638
case_006,82837,31729,37844,31729,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_006/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_006/singlecore.json,saved_wcc_control,cd4e8638fea89edc19033c73c346593c77485b93de806bd599127be4223cdcf3,1.1927258974439787,1.0,2.6107661760534526,2.188907092273544,2.6107661760534526
case_007,1012562,203834,250193,203834,9,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_007/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_007/singlecore.json,saved_wcc_control,c0350b440db5fbbbef6ad20650b2837bb022ac03a73228a0fb830940e7089aad,1.2274350697135905,1.0,4.967581463347626,4.047123620564924,4.967581463347626
case_008,487605,100603,100603,100603,7,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_008/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_008/singlecore.json,saved_wcc_control,d6f5514f60d11b36afff6cc20011fa3af1efb0e315725675360cd3574d93abf1,1.0,1.0,4.846823653370178,4.846823653370178,4.846823653370178
case_009,153261,92198,77300,77300,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_009/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_009/singlecore.json,op_stable_id_w100,04355bc651c5540e2680b27d530885ebef0374b74d092558d8e0209b81984d2c,0.8384129807588017,0.8384129807588017,1.66230286991041,1.9826778783958603,1.9826778783958603
case_010,86969,31010,28033,28033,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_010/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_010/singlecore.json,op_release_priority_w200,1d9dcfc82b2158abb8193ebccb3ae26c7161fa09bba503a00978f96f9d7ce75f,0.9039987100935182,0.9039987100935182,2.8045469203482747,3.1023793386366068,3.1023793386366068
case_011,184697,47287,57900,47287,6,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_011/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_011/singlecore.json,saved_wcc_control,0c08c1429a2e43be321d6d26cd8329414ea03ea4c71a1187105093910cdeefcb,1.2244380062173537,1.0,3.905872649988369,3.18993091537133,3.905872649988369
case_012,59088,12559,27467,12559,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_012/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_012/singlecore.json,saved_wcc_control,c0db063bb5182b35f6a4b8070198ef6dcfdc3122b96bdc7867f0eac384641a10,2.187037184489211,1.0,4.704833187355681,2.151236028688972,4.704833187355681
case_013,263949,54363,115712,54363,8,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_013/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_013/singlecore.json,saved_wcc_control,3b76e6ddcb1b70103c11d6b51d3cf93c3293c1509bc3058be8ec5a38d714d7e0,2.1285065209793426,1.0,4.855305998565201,2.281085799225664,4.855305998565201
case_014,17698626,3712893,4477635,3712893,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_014/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_014/singlecore.json,saved_wcc_control,5a9adcdfa019304180bb169195b660cda6bae9ed8858d535984194e066a797ff,1.20596930749149,1.0,4.766802059741555,3.9526727837351636,4.766802059741555
case_015,177362,43242,66411,43242,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_015/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_015/singlecore.json,saved_wcc_control,a3f55b671c7a44eb46f0c31a140b052dce98c988901c5e6648dae35d4b47d1fa,1.5357985292077148,1.0,4.101614171407428,2.6706720272244056,4.101614171407428
case_016,7715523,7715523,1972346,1972346,10,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_016/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_016/singlecore.json,op_release_priority_w100,c1573cb169a2cd981ceb464fcef71ae97e8c842bee78b6d4f51a43d3017e5cb6,0.25563348071154735,0.25563348071154735,1.0,3.9118506590628623,3.9118506590628623
case_017,162810,35496,60652,35496,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_017/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_017/singlecore.json,saved_wcc_control,279cffe78c4d3bd93b62f3ff4217d5119b5fff4fa4c665553d869741279c0b57,1.708699571782736,1.0,4.586713995943205,2.6843302776495417,4.586713995943205
case_018,1004367,205917,267758,205917,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_018/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_018/singlecore.json,saved_wcc_control,33ea34e455f3d047a0bb92fd7b874a2ade45b2639659a20fc34fc4df468789b3,1.300320031857496,1.0,4.8775331808447095,3.751025179453088,4.8775331808447095
case_019,81144,24169,18233,18233,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_019/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_019/singlecore.json,op_critical_path_w200,028a0811ecbd4dbd51fb2d9e72ef4c46609cceb21b9ec4411643045c42dc6fe5,0.7543961272704705,0.7543961272704705,3.357358599859324,4.450392146108704,4.450392146108704
case_020,532746,107650,136399,107650,11,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_020/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_020/singlecore.json,saved_wcc_control,f8db906046d026d7a5926949518e21b04dc855e863cee9fa7f6bd9bac55ce213,1.2670599163957268,1.0,4.948871342313051,3.9057910981752064,4.948871342313051
case_021,6567937,1250168,1301179,1250168,6,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_021/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_021/singlecore.json,saved_wcc_control,eaf84907925df6a12e976bb635bff67f52638d57354a7d0ac0192965e8450e10,1.040803316034325,1.0,5.253643510312214,5.047681372047966,5.253643510312214
case_022,56780,11828,23572,11828,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_022/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_022/singlecore.json,saved_wcc_control,99b6a3924a6b2ee76e7b17950e924648b218a66f495a1f964f21ec4dfc0003ba,1.9928982076428814,1.0,4.800473452823808,2.4087900899372134,4.800473452823808
case_023,122614,24940,35545,24940,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_023/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_023/singlecore.json,saved_wcc_control,3f3867e6a8c05ca2a92e429bc59ea3a032d6e226632d1e051c14888417813edc,1.4252205292702487,1.0,4.91635926222935,3.449542833028555,4.91635926222935
case_024,2555343,2555343,659810,659810,10,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_024/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_024/singlecore.json,op_release_priority_w100,7a87881ccf8ef1c8b28a1c330511fe77bb295b6d24dfcb86bb7b94f6f6c659b8,0.25820799790869564,0.25820799790869564,1.0,3.872846728603689,3.872846728603689
case_025,4863026,975282,1193513,975282,11,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_025/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_025/singlecore.json,saved_wcc_control,e48afe849dfcd61d22619e886a0e31c2903b11b87250ea3d3be4386f585119c7,1.2237619478263724,1.0,4.986276789687495,4.074547994031066,4.986276789687495
case_026,99203,44114,40788,40788,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_026/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_026/singlecore.json,op_stable_id_w200,de54ca91a8b05fb5a465299e611123a86712ebad3c8f099968fc03c5c4f27d9f,0.9246044339665412,0.9246044339665412,2.2487872330779344,2.4321614200254977,2.4321614200254977
case_027,2363952,558753,469765,469765,6,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_027/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_027/singlecore.json,op_critical_path_w100,22024880ef1cc51582d6f829acc48ba156321e1bfd103e1ce7343aa1a289d460,0.8407382152758016,0.8407382152758016,4.230763861670542,5.032201206986472,5.032201206986472
case_028,43836040,11491035,8458315,8458315,11,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_028/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_028/singlecore.json,op_critical_path_w200,3c7b0fb0256c779d127d2d15c3e27a188d9be381eb1f7f9669c0888ed89c5df5,0.7360794741291798,0.7360794741291798,3.814803453300769,5.182597243067916,5.182597243067916
case_029,37555,9383,16793,9383,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_029/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_029/singlecore.json,saved_wcc_control,06053f139e9c60361d8a80d72059e67564fb1939e21106eb273feeb36b617af4,1.78972610039433,1.0,4.002451241607162,2.236348478532722,4.002451241607162
case_030,2808034,561102,1131594,561102,12,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_030/simple_p2_n5_seed0.json,/Users/liyu/Desktop/中文题目/A题研究/solver/runs/full_initial_v1/results/case_030/singlecore.json,saved_wcc_control,0e637e7792caeadcc9efb20be1a6cc7af2dfb8cb19241878b790d78d8f41451c,2.016734925200766,1.0,5.004498290863337,2.481485409077814,5.004498290863337
