batch,case,cores,name,status,makespan,accepted,cache_hit,task_bound,ddr_bound,lower_bound,task_count,max_task_ops,mandatory_boundary_bytes,core_ownership_preserved,official_record
深化任务粒度_v1,case_003,5,merge256,success,439088,False,False,323424,59761,323424,31,2148,3509532,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001948-cf1ef9be141d4532a71b083391ae01f0/record.json
深化任务粒度_v1,case_003,5,local_duration,success,419710,False,False,303958,76938,303958,83,2148,4527800,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001950-cdb2e91524cb4eefaf13474eaaf0c297/record.json
深化任务粒度_v1,case_003,5,merge512,success,439088,False,False,323424,59761,323424,30,2148,3509532,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001953-d75848a0a41e4a0e8171adefe8290c95/record.json
深化任务粒度_v1,case_003,5,observed_duration,success,419518,True,False,303958,76938,303958,83,2148,4527800,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001955-32b3cd6809b048b6b748062d8a3f42aa/record.json
深化任务粒度_v1,case_003,5,split1024,success,409613,True,False,314496,86889,314496,93,1024,5102740,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T001958-8cd8377448e242b384cf41372bd1b810/record.json
深化任务粒度_v1,case_003,5,merge2048,success,481403,False,False,357868,57519,357868,28,2148,3382040,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002001-39268d48288944aba78717508f9e2e73/record.json
深化任务粒度_v1,case_009,5,merge256,success,96780,False,False,83120,15632,83120,24,584,889606,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002004-22d0046bb067408ea56f2cf419e8fe33/record.json
深化任务粒度_v1,case_009,5,local_duration,success,84269,False,False,72199,16540,72199,85,584,942388,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002005-6d708898c8a8478787b5057e2e439b9c/record.json
深化任务粒度_v1,case_009,5,observed_duration,success,83859,False,False,71869,16540,71869,85,584,942388,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002006-be62a1a80dc34ea5a20fb5438ac5c3df/record.json
深化任务粒度_v1,case_009,5,split512,success,84254,False,False,72271,16765,72271,89,512,954332,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T002007-8b81a1e399e74306bac959feb882c8c6/record.json
