case,problem,cores,makespan,baseline,speedup,lower_bound,lb_ratio,upper_possible_reduction_pct,active_cores,compute_ops,largest_component_work_M_fraction,original_copy_bytes,added_copy_bytes,spill_bytes,stage,name,logical_calls,new_calls,cache_hits,elapsed,summary_path
case_001,1,2,116868,233110,1.9946435294520313,116400.0,1.004020618556701,0.4004517917650663,2,600,0.005,1639552,1152,0,component,wcc_start0_simple_a2_per_core_lpt_mv,12,9,3,1.7391275420086458,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_001/p1_n2/attempt_0001/summary.json
case_001,1,3,78545,233110,2.9678528232223567,77600.0,1.0121778350515465,1.203131962569226,3,600,0.005,1639552,2304,0,component,wcc_start0_simple_a3_per_core_lpt_mv,12,12,0,2.498862292035483,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_001/p1_n3/attempt_0001/summary.json
case_001,1,4,58984,233110,3.952088702020887,58200.0,1.013470790378007,1.3291740132917451,4,600,0.005,1639552,3456,0,component,wcc_start0_simple_a4_per_core_lpt_mv,12,12,0,2.523364291060716,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_001/p1_n4/attempt_0001/summary.json
case_001,1,5,47502,233110,4.9073723211654245,46560.0,1.0202319587628865,1.9830743968675013,5,600,0.005,1639552,4608,0,component,wcc_start0_simple_a5_per_core_lpt_mv,12,8,4,1.8978475000476465,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_001/p1_n5/attempt_0001/summary.json
case_002,1,2,252542,261945,1.0372334106802037,120000.0,2.1045166666666666,52.483151317404634,1,1798,1.0,1224192,4018176,0,operation,critical_path_b4_p1_eft,9,8,1,4.078384874970652,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_002/p1_n2/attempt_0001/summary.json
case_002,1,3,171449,261945,1.5278304335400033,80000.0,2.1431125,53.338893781824325,2,1798,1.0,1224192,451584,0,operation,stable_id_b3_p1_eft,9,9,0,4.911211875034496,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_002/p1_n3/attempt_0001/summary.json
case_002,1,4,195596,261945,1.339214503364077,60000.0,3.259933333333333,69.32452606392769,2,1798,1.0,1224192,522240,0,operation,stable_id_b4_p1_eft,9,9,0,5.19414770801086,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_002/p1_n4/attempt_0001/summary.json
case_002,1,5,179186,261945,1.4618608596653757,48000.0,3.733041666666667,73.21219291685735,5,1798,1.0,1224192,7847424,0,operation,critical_path_b20_p1_eft,9,8,1,5.023460750002414,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_002/p1_n5/attempt_0001/summary.json
case_003,1,2,538381,602212,1.1185610190552786,219396.0,2.4539234990610583,59.24893337617784,2,13455,0.8732429032434502,1284264,98304,0,component,wcc_start0_simple_a2_per_core_lpt_mv,12,9,3,89.29008854192216,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_003/p1_n2/attempt_0001/summary.json
case_003,1,3,538764,602212,1.1177658492401126,146264.0,3.683503801345512,72.85193517013016,3,13455,0.8732429032434502,1284264,196608,0,component,wcc_start0_simple_a3_per_core_lpt_mv,12,12,0,179.35377137502655,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/full_p1_seed17/slots/case_003/p1_n3/attempt_0001/summary.json
