batch,case,method,candidate,joint_stage,mechanism,status,makespan,accepted,cache_hit,record
P3读序开发_v1,case_023,read_order,observed_order_control,,reencoding_control,success,20229,False,True,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T111837-cb65fe76dd8e48ec8201a11e47a9a518/record.json
P3读序开发_v1,case_023,read_order,t0_w8_advance,,advance_critical_consumer,success,22016,False,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T111837-cf472e7f64534fa6a43a62fa84af15b2/record.json
P3读序开发_v1,case_023,read_order,t2_w8_work,,independent_work_before_follower,success,20229,False,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T111837-e49ed76d19cb42cfb6038e86d9d113c7/record.json
P3读序开发_v1,case_023,read_order,t1_w32_advance,,advance_critical_consumer,success,22035,False,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T111837-b9f28466954f45678837c215c25bf031/record.json
P3读序开发_v1,case_023,read_order,t2_w32_work,,independent_work_before_follower,success,20229,False,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T111837-de66a1440a994917b5f3faf6d46d294b/record.json
P3读序开发_v1,case_023,read_order,t2_w128_work,,independent_work_before_follower,success,20229,False,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T111837-fc666d97791d491e83eec74990733a50/record.json
P3读序开发_v1,case_023,read_order,t1_w8_advance,,advance_critical_consumer,success,21688,False,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T111837-97b40e67e900449eba2a8702f02edd2f/record.json
P3读序开发_v1,case_023,read_order,t3_w8_work,,independent_work_before_follower,success,20229,False,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T111838-5abf4cc77c064657933c8e416eb6a9eb/record.json
P3读序开发_v1,case_023,read_order,t4_w32_advance,,advance_critical_consumer,success,20229,False,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T111838-13111a2b1f7b4130a76740f41813410c/record.json
P3读序开发_v1,case_023,read_order,t3_w32_work,,independent_work_before_follower,success,20229,False,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T111838-250888acaa8843018c72328de662616e/record.json
P3读序开发_v1,case_023,read_order,t3_w128_work,,independent_work_before_follower,success,20229,False,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T111838-0ca64c0592dd46aa8c38a86cc8c494ef/record.json
P3读序开发_v1,case_023,read_order,t2_w8_advance,,advance_critical_consumer,success,20159,True,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T111838-7d5b2ba72acb481b8c437dc23dc1b67a/record.json
P3读序开发_v1,case_094,read_order,observed_order_control,,reencoding_control,success,20726,True,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T111837-b8bce161098d45e39bad9624eb29a089/record.json
P3读序开发_v1,case_094,read_order,t0_w8_advance,,advance_critical_consumer,success,20726,False,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T111837-0e025aa7c1ba4915813037c87b61158e/record.json
P3读序开发_v1,case_094,read_order,t1_w8_leader,,advance_existing_leader,success,20726,False,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T111837-68dbe62356874d798f0360b93424fbe1/record.json
P3读序开发_v1,case_094,read_order,t1_w8_work,,independent_work_before_follower,success,20743,False,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T111837-a9ddf7efc9854aad93c2b5e46585dd03/record.json
P3读序开发_v1,case_094,read_order,t0_w32_advance,,advance_critical_consumer,success,20398,True,False,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T111837-7cbba47986294a41a2bd728cda035c46/record.json
