case,problem,cores,variant,call,name,new_strategy,status,makespan,added_copy,evaluation_seconds,peak_rss,generation_seconds,accepted,record_path
case_025,1,5,v2,1,wcc_start0_simple_a5_per_core_lpt_mv,False,success,975282,110592,25.14469704599469,238628864,4.285357484011911,True,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_fix1/slots/case_025/p1_n5/v2/evaluations/attempts/20260925T210551-cd66d04823ef4e90a1af229faf43981b/record.json
case_025,1,5,v2,2,v2_p1_component_critical,True,success,1757768,73681920,42.33431232099247,243208192,0.21886257101141382,False,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_fix1/slots/case_025/p1_n5/v2/evaluations/attempts/20260925T210616-a130be146f7f4543ad8cbcec9503b27a/record.json
case_025,1,5,v2,3,selective_whole_critical_path_x1_a3_eft,False,success,2291536,73681920,44.792510498999036,242278400,0.020439680010895245,False,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_fix1/slots/case_025/p1_n5/v2/evaluations/attempts/20260925T210659-ea63fbadf1d54750b7430145afee674d/record.json
case_025,1,5,v2,4,v2_p1_branch_s2_critical,True,timeout,,,60.03006131200527,242921472,0.39250835600250866,False,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_fix1/slots/case_025/p1_n5/v2/evaluations/attempts/20260925T210744-a6628c5e7b094cf0870a3398db5aca59/record.json
case_025,2,5,v2,1,wcc_start0_simple_a5_per_core_lpt_mv,False,success,975282,110592,5.141033712992794,256405504,4.583109529005014,True,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_fix1/slots/case_025/p2_n5/v2/evaluations/attempts/20260925T210551-40693b6f8b8f4c3a8e283f38f0eb4450/record.json
case_025,2,5,v2,2,v2_p2_component_critical,True,success,975282,110592,5.956642136996379,258678784,0.36013085099693853,False,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_fix1/slots/case_025/p2_n5/v2/evaluations/attempts/20260925T210557-0df6a9bc92d24fe4a95cc5966a9426de/record.json
case_025,2,5,v2,3,op_critical_path_w200,False,success,2263710,92602368,13.31536150399188,510586880,0.03216463500575628,False,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_fix1/slots/case_025/p2_n5/v2/evaluations/attempts/20260925T210603-95fc36a5691643eb9c51d98117674dcd/record.json
case_025,2,5,v2,4,v2_p2_branch_s2_residency,True,success,974390,20585472,7.896339675004128,329191424,0.5181920679897303,True,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_fix1/slots/case_025/p2_n5/v2/evaluations/attempts/20260925T210617-7b11e35970a94c0c83e2f6fb3fcc6426/record.json
case_025,2,5,v2,5,op_stable_id_w200,False,success,1193513,13673472,7.196161400992423,301125632,0.023136919015087187,False,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_fix1/slots/case_025/p2_n5/v2/evaluations/attempts/20260925T210633-e856ac3d279641f6b5711179ee95261e/record.json
case_025,2,5,v2,6,op_release_priority_w200,False,success,1958337,77552640,12.465865245001623,460222464,0.02667885499249678,False,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_A批_20260925_fix1/slots/case_025/p2_n5/v2/evaluations/attempts/20260925T210640-63b01a735c9b4309927b216af638e1dd/record.json
