case,problem,cores,method,status,makespan,logical_calls,new_calls,elapsed_seconds,stop_reason,failed_calls,generation_errors,summary_path
case_048,1,5,integrated,success,162275,12,12,3.956735874991864,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_048/p1_n5/integrated/summary.json
case_021,2,5,baseline,success,1250168,12,12,7.84398937493097,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_021/p2_n5/baseline/summary.json
case_074,3,5,integrated,success,326679,12,12,12.954057291965,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_074/p3_n5/integrated/summary.json
case_090,3,5,baseline,success,194679,12,12,2.3638747909571975,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_090/p3_n5/baseline/summary.json
case_021,2,5,integrated,success,1250099,12,12,12.174525832990184,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_021/p2_n5/integrated/summary.json
case_009,1,5,baseline,success,83830,12,12,16.138025583000854,budget_or_pool_exhausted,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_009/p1_n5/baseline/summary.json
case_090,3,5,local_legacy,success,194679,12,12,3.23863470798824,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_090/p3_n5/local_legacy/summary.json
case_021,2,5,local_legacy,success,1250168,12,12,8.894215833977796,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_021/p2_n5/local_legacy/summary.json
case_060,3,5,local_legacy,success,160246,12,12,12.439750874997117,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_060/p3_n5/local_legacy/summary.json
case_088,1,5,baseline,success,170858,12,12,8.823694040998816,budget_or_pool_exhausted,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_088/p1_n5/baseline/summary.json
case_071,1,5,integrated,success,11496,12,12,2.2016866659978405,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_071/p1_n5/integrated/summary.json
case_094,2,5,local_legacy,success,17465,12,12,1.6241719169775024,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_094/p2_n5/local_legacy/summary.json
case_074,3,5,baseline,success,326680,12,12,7.0521828749915585,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_074/p3_n5/baseline/summary.json
case_094,3,5,baseline,success,16819,12,12,1.5741092500975356,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_094/p3_n5/baseline/summary.json
case_090,3,5,integrated,success,194679,12,12,3.9875832909019664,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_090/p3_n5/integrated/summary.json
case_048,1,5,baseline,success,211661,12,12,3.4789574169553816,budget_or_pool_exhausted,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_048/p1_n5/baseline/summary.json
case_094,3,5,integrated,success,16243,12,12,2.1613557090749964,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_094/p3_n5/integrated/summary.json
case_088,1,5,local_legacy,success,198572,12,12,11.99208004202228,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_088/p1_n5/local_legacy/summary.json
case_009,1,5,integrated,success,83830,12,12,23.603214417002164,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_009/p1_n5/integrated/summary.json
case_060,3,5,baseline,success,160258,12,12,8.514344374998473,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_060/p3_n5/baseline/summary.json
case_074,2,5,baseline,success,333090,12,12,6.721427041920833,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_074/p2_n5/baseline/summary.json
case_094,2,5,integrated,success,17465,12,12,2.0961873329943046,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_094/p2_n5/integrated/summary.json
case_094,2,5,baseline,success,17755,12,12,1.3618840839480981,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_094/p2_n5/baseline/summary.json
case_071,1,5,baseline,success,12170,12,12,1.9078951249830425,budget_or_pool_exhausted,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_071/p1_n5/baseline/summary.json
case_074,2,5,local_legacy,success,329790,12,12,8.80492341693025,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_074/p2_n5/local_legacy/summary.json
case_021,3,5,local_legacy,success,1249311,12,12,10.901753457961604,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_021/p3_n5/local_legacy/summary.json
case_021,3,5,baseline,success,1249311,12,12,8.818938791984692,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_021/p3_n5/baseline/summary.json
case_031,3,5,integrated,success,276203,12,12,22.83460137504153,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_031/p3_n5/integrated/summary.json
case_074,3,5,local_legacy,success,326679,12,12,9.697520334040746,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_074/p3_n5/local_legacy/summary.json
case_060,3,5,integrated,success,160246,12,12,19.295405292068608,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_060/p3_n5/integrated/summary.json
case_048,1,5,local_legacy,success,211661,12,12,3.9032874999102205,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_048/p1_n5/local_legacy/summary.json
case_090,2,5,local_legacy,success,260978,12,12,3.1990755839506164,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_090/p2_n5/local_legacy/summary.json
case_060,2,5,integrated,success,163999,12,12,15.057809749967419,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_060/p2_n5/integrated/summary.json
case_021,3,5,integrated,success,1249311,12,12,15.971176167018712,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_021/p3_n5/integrated/summary.json
case_094,3,5,local_legacy,success,16243,12,12,1.7435531250666827,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_094/p3_n5/local_legacy/summary.json
case_090,2,5,baseline,success,260978,12,12,2.569405416958034,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_090/p2_n5/baseline/summary.json
case_031,2,5,local_legacy,success,277319,12,12,13.606361042009667,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_031/p2_n5/local_legacy/summary.json
case_031,2,5,baseline,success,273240,12,12,11.566067124949768,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_031/p2_n5/baseline/summary.json
case_071,1,5,local_legacy,success,11626,12,12,2.0736470830161124,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_071/p1_n5/local_legacy/summary.json
case_031,2,5,integrated,success,277319,12,12,18.8760358330328,call_budget,0,0,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/端到端第十二轮验证_v3/slots/case_031/p2_n5/integrated/summary.json
