case,problem,cores,before,after,before_copy_bytes,after_copy_bytes,reduction_pct,original_singlecore,plan,official_record,official_result
case_025,2,5,974747,942350,118272,118272,3.3236316705770874,4863026,方案/p2/n5/case_025_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T163618-7c4c93d7bc8b4890bf1f62e6d7ed2235/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T163328-264b3f9dba4646e18e0909ea6c785747/official_result.json.gz
case_025,3,5,974747,942350,118272,118272,3.3236316705770874,4863026,方案/p3/n5/case_025_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T162836-ad2358b9d7604bb7a2f4d1b0883d8e71/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T162717-718936a5c9384263a9198bbf959ea79c/official_result.json.gz
case_074,3,5,329495,326680,5619712,7634944,0.8543376985993723,1682239,方案/p3/n5/case_074_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T162954-6ab4391072fd4b7e88359dadd712a2af/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T162954-6ab4391072fd4b7e88359dadd712a2af/official_result.json.gz
case_076,2,5,1232186,1231756,33310720,35959808,0.034897328812366624,6185113,方案/p2/n5/case_076_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T163656-d3398f270972423e827ec5fd3eb75cd6/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T163656-d3398f270972423e827ec5fd3eb75cd6/official_result.json.gz
case_076,3,5,1229998,1225408,33293312,38180864,0.37317133848998596,6185113,方案/p3/n5/case_076_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T163613-5f09c1bd25764e7ea86f1bb7a8c63a31/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T163613-5f09c1bd25764e7ea86f1bb7a8c63a31/official_result.json.gz
case_083,2,5,259240,184594,13235584,3721600,28.79416756673353,1057993,方案/p2/n5/case_083_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T162930-d059b7cc42b44a1a854c209a24c6006d/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T162930-d059b7cc42b44a1a854c209a24c6006d/official_result.json.gz
case_083,3,5,222425,184594,13235584,3721600,17.008429807800386,1057993,方案/p3/n5/case_083_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T163548-e38b4641a1844e83ae8c3503c953bf44/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T163548-e38b4641a1844e83ae8c3503c953bf44/official_result.json.gz
case_087,2,5,800842,797842,13442324,13390484,0.37460572747183285,3974071,方案/p2/n5/case_087_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T163934-a1e45a05728a4327a787f6dfd1ef17e0/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T163934-a1e45a05728a4327a787f6dfd1ef17e0/official_result.json.gz
case_087,3,5,794423,790623,13442324,13385876,0.4783345900106095,3974071,方案/p3/n5/case_087_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T163959-28c324d89c784a84ab49f6a4db4b5d12/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T163959-28c324d89c784a84ab49f6a4db4b5d12/official_result.json.gz
case_090,2,5,290083,260978,7972848,8593920,10.033335286797229,1178363,方案/p2/n5/case_090_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T163237-608c6198368c4acd9682e0d4b855849f/record.json,/Users/liyu/Desktop/中文题目/A题研究/advanced_solver/runs/formal_v2/evaluations/attempts/20260925T163237-608c6198368c4acd9682e0d4b855849f/official_result.json.gz
